"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабій
Григорій
Ярославович","Басараба
Петро
Дмитрович","Босий
Володимир
Ігорович","Величко
Роман
Андрійович","Гаршин
Віктор
Миколайович","Глова
Ігор
Григорович","Жук
Ганна
Михайлівна","Козак
Тарас
Романович","Пазиняк
Василь
Степанович","Савуляк
Сергій
Маркіянович","Сміщук
Сергій
Леонідович","Франко
Степан
Михайлович","Якимович
Богдан
Зіновійович","Дата підписання протоколу"
"460504","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Богдана Хмельницького, 1, м.Дубляни, Жовківський р-н, Львівська обл., 80381","2466","678","2462","47","1749","39","1788","","0","1749","39","1788","49","1739","11","5","7","6","3","8","5","751","866","29","14","2","32","29.10.12"
"460505","122","Львівська область","Дублянська міська рада, сесійна зала, 1-й поверх
вул.Студентська, 5, м.Дубляни, Жовківський район, Львівська обл., 80381","516","145","508","7","364","7","371","","0","364","7","371","6","365","3","1","4","2","1","2","2","183","141","17","5","3","1","28.10.12"
"460506","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Ситихівська, 45, с.Ситихів, Жовківський р-н, Львівська обл., 80382","276","51","277","17","209","16","225","","0","209","16","225","5","220","2","1","2","0","1","1","2","115","87","6","2","0","1","29.10.12"
"460507","122","Львівська область","школа, актова зала, 1-й поверх
вул.Вячеслава Чорновола, 2А, с.Малі Підліски, Жовківський р-н, Львівська обл., 80382","510","130","515","7","373","7","380","","0","373","7","380","11","369","2","1","0","2","3","0","3","206","129","15","4","1","3","29.10.12"
"460508","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Шевченка, 1, с.Малехів, Жовківський р-н, Львівська обл., 80383","1128","319","1107","30","780","29","809","","0","780","29","809","21","788","2","7","5","6","1","3","4","246","451","29","22","4","8","29.10.12"
"460509","122","Львівська область","школа, к.2, 1-й поверх
вул.Коновальця, 7, с.Малехів, Жовківський р-н, Львівська обл., 80383","1032","285","1021","38","711","36","747","","0","711","36","747","20","727","10","4","7","4","3","4","4","257","388","13","19","3","11","29.10.12"
"461571","122","Львівська область","будинок культури ""Сокіл"", актова зала
вул.І.Франка, 10, м.Яворів, Яворівський р-н, Львівська обл., 81000","1830","599","1828","33","1203","28","1231","","0","1203","28","1231","28","1203","17","0","13","2","11","2","12","251","877","13","2","2","1","29.10.12"
"461572","122","Львівська область","міський народний дім, актова зала, 2-й поверх.
пл.Ринок, 6, м.Яворів, Яворівький р-н, Львівська обл., 81000","1434","483","1443","17","935","16","951","","0","935","16","951","15","936","21","0","5","0","7","1","6","226","654","10","2","3","1","29.10.12"
"461573","122","Львівська область","школа № 3, актова зала
вул.Святоюрська, 28, м.Яворів, Яворівський р-н, Львівська обл., 81000","1440","454","1474","16","970","16","986","","0","970","16","986","11","975","17","1","1","2","5","2","4","138","775","23","3","3","1","29.10.12"
"461574","122","Львівська область","клуб, актова зала
вул.Львівська, 98, м.Яворів, Яворівський р-н, Львівська обл., 81000","1674","573","1691","22","1081","20","1101","","0","1081","20","1101","11","1090","19","3","5","1","8","7","12","211","803","8","7","2","4","29.10.12"
"461575","122","Львівська область","школа № 3, спортзал
вул.Святоюрська, 28, м.Яворів, Яворівський р-н, Львівська обл., 81000","1530","505","1497","15","1010","15","1025","","0","1010","15","1025","28","997","20","1","5","0","3","2","8","172","768","11","3","4","0","29.10.12"
"461576","122","Львівська область","школа, актова зала
вул.Ів.Хрестителя, 54, м.Яворів, Яворівський р-н, Львівська обл., 81000","1002","445","993","3","555","2","557","","0","555","2","557","5","552","26","1","14","0","6","10","1","173","307","5","5","2","2","29.10.12"
"461577","122","Львівська область","спортивна зала, школа, вул.Ів.Хрестителя, 54, м.Яворів, Яворівський р-н, Львівська обл.,81000
вул.Ів.Хрестителя, 54, школа, м.Яворів, Яворівський р-н, Львівська обл., 81000","1938","807","1811","2","1129","2","1131","","0","1129","2","1131","75","1056","45","19","64","34","30","31","25","363","384","14","14","14","19","29.10.12"
"461578","122","Львівська область","школа № 1, їдальня, 1-й поверх.
вул.Січових Стрільців, 9, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","2166","938","2157","10","1220","8","1228","","0","1220","8","1228","27","1201","40","3","4","7","6","7","6","208","885","8","5","16","6","29.10.12"
"461579","122","Львівська область","школа №1, актова зала, 2-й поверх.
вул.Січових Стрільців, 9, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","2124","885","2118","6","1235","4","1239","","0","1235","4","1239","29","1210","34","6","14","6","8","5","5","192","903","10","6","17","4","29.10.12"
"461580","122","Львівська область","школа №2, фойє, 1-й поверх.
вул.Січових Стрільців, 7, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","2040","805","2044","7","1228","7","1235","","0","1228","7","1235","21","1214","42","2","8","1","5","3","8","179","942","8","4","10","2","29.10.12"
"461581","122","Львівська область","школа №2, фойє, 2-й поверх.
вул.Січових Стрільців, 7, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","1044","371","1057","15","661","12","673","","0","661","12","673","14","659","21","0","4","2","3","1","5","109","496","9","4","4","1","29.10.12"
"461582","122","Львівська область","школа мистецтв, актова зала, 1-й поверх.
вул.Січових Стрільців, 3, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","984","356","986","3","626","2","628","","0","626","2","628","16","612","20","1","3","3","9","6","5","89","458","8","1","7","2","29.10.12"
"461583","122","Львівська область","ліцей, актова зала, 1-й поверх.
вул.Січових Стрільців, 14, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","1128","431","1139","1","696","1","697","","0","696","1","697","15","682","16","1","5","3","9","7","6","112","498","9","6","9","1","29.10.12"
"461584","122","Львівська область","ПК ""Кристал"", зал урочистих подій, 2-й поверх
вул.Т.Шевченка, 1, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","1860","753","1852","6","1104","3","1107","","0","1104","3","1107","18","1089","26","1","6","3","9","2","7","200","792","15","7","18","3","29.10.12"
"461585","122","Львівська область","ПК ""Кристал"", виставковий зал, 1-й поверх.
вул.Т.Шевченка, 1, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","2202","926","2212","4","1273","3","1276","","0","1273","3","1276","26","1250","30","1","6","1","2","4","4","232","929","8","6","20","7","29.10.12"
"461586","122","Львівська область","міська рада, сесійний зал, 1-й поверх.
вул.Т.Шевченка, 2, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","1062","398","1079","0","664","0","664","","0","664","0","664","9","655","20","3","5","3","4","1","4","113","483","9","0","8","2","29.10.12"
"461587","122","Львівська область","школа, актова зала, 1-й поверх.
вул.Р.Шухевича, 3, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","1266","537","1254","6","726","3","729","","0","726","3","729","11","718","9","1","1","2","5","6","3","130","543","3","8","7","0","29.10.12"
"461588","122","Львівська область","школа №3, їдальня, 1-й поверх.
вул.Р.Шухевича, 5, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","2172","831","2171","4","1337","4","1341","","0","1337","4","1341","23","1318","38","1","7","7","6","1","9","224","997","11","6","8","3","29.10.12"
"461589","122","Львівська область","школа №3, актова зала, 2-й поверх.
вул.Р.Шухевича, 5, м.Новояворівськ, Яворівський р-н, Львівська обл., 81054","1080","475","1074","1","604","1","605","","0","604","1","605","14","591","19","1","2","2","2","1","4","111","439","0","4","6","0","29.10.12"
"461590","122","Львівська область","школа, їдальня, 1-й поверх.
вул.І.Франка, 1, смт Івано-Франкове, Яворівський р-н, Львівська обл., 81070","1740","491","1765","13","1236","13","1249","","0","1236","13","1249","23","1226","15","14","2","2","4","0","1","256","883","22","8","10","9","29.10.12"
"461591","122","Львівська область","ХПТУ №14, їдальня, 1-й поверх.
пл.Ринок, 13, смт Івано-Франкове, Яворівський р-н, Львівська обл., 81070","1236","355","1264","23","861","20","881","","0","861","20","881","19","862","4","4","1","3","1","0","6","166","654","11","5","1","6","29.10.12"
"461592","122","Львівська область","адмінбудинок націлнального парку, виставковий зал.
вул.Зелена, 23, смт Івано-Франкове, Яворівський р-н, Львівська обл., 81070","1500","468","1519","7","1027","5","1032","","0","1026","5","1031","11","1020","21","4","3","0","2","4","5","243","706","10","9","6","7","29.10.12"
"461593","122","Львівська область","школа, актова зала
вул.8-го Березня, школа, с.Лелехівка, Яворівський р-н, Львівська обл., 81071","312","125","315","5","182","5","187","","0","182","5","187","5","182","0","2","1","0","1","1","0","107","62","2","4","1","1","30.10.12"
"461594","122","Львівська область","школа, фойє
вул.Лісна, 1А, с.Верещиця, Яворівський р-н, Львівська обл., 81071","420","146","431","0","274","0","274","","0","274","0","274","2","272","3","0","2","1","1","1","0","131","116","7","1","8","1","29.10.12"
"461595","122","Львівська область","клуб, актова зала, 1-й поверх.
пл.Р.Шухевича, 1, смт Краковець, Яворівський р-н, Львівська обл., 81033","894","157","905","23","714","23","737","","0","714","23","737","12","725","16","0","5","4","1","3","5","175","497","7","5","1","6","29.10.12"
"461596","122","Львівська область","клуб, зал
пл.Ринок, 5, с.Передвір’я, Яворівський р-н, Львівська обл., 81033","372","112","372","20","240","20","260","","0","240","20","260","4","256","2","2","0","0","1","2","1","66","174","6","1","0","1","29.10.12"
"461597","122","Львівська область","народний дім, зал
вул.Т.Шевченка, 71, с.Мор’янці, Яворівський р-н, Львівська обл., 81036","360","118","358","13","229","13","242","","0","229","13","242","7","235","4","1","1","1","0","0","0","68","150","6","1","2","1","29.10.12"
"461598","122","Львівська область","народний дім №1, зал.
вул.Т.Шевченка, 14, с.Глиниці, Яворівський р-н, Львівська обл., 81035","522","146","518","13","364","12","376","","0","364","12","376","7","369","1","2","1","0","0","0","3","105","229","13","1","12","2","29.10.12"
"461599","122","Львівська область","народний дім №2, зал.
вул.Т.Шевченка, 166, с.Глиниці, Яворівський р-н, Львівська обл., 81035","480","96","492","25","359","25","384","","0","359","25","384","10","374","3","1","1","1","0","0","5","76","275","10","1","0","1","29.10.12"
"461600","122","Львівська область","народний дім, зал.
вул.Т.Шевченка, 5, смт Немирів, Яворівський р-н, Львівська обл., 81013","1422","517","1422","52","858","47","905","","0","858","47","905","11","894","15","0","6","1","1","1","8","192","650","17","1","0","2","29.10.12"
"461601","122","Львівська область","санаторій ""Немирів"", актова зала.
вул.Курортна, 21, смт Немирів, Яворівський р-н, Львівська обл., 81013","546","176","540","26","347","23","370","","0","347","23","370","6","364","1","0","0","0","0","0","4","87","265","6","0","1","0","29.10.12"
"461602","122","Львівська область","народний дім, зал.
народний дім, с.Салаші, Яворівський р-н, Львівська обл., 81013","534","176","538","39","319","39","358","","0","319","39","358","6","352","0","0","2","1","1","1","5","146","185","8","2","0","1","29.10.12"
"461603","122","Львівська область","школа, актова зала, 1-й поверх.
вул.П.Сагайдачного, 1А, смт Шкло, Яворівський р-н, Львівська обл., 81050","2382","767","2378","13","1605","10","1615","","0","1605","10","1615","24","1591","21","4","1","1","1","4","5","365","1166","12","4","5","2","29.10.12"
"461604","122","Львівська область","народний дім, зал.
вул.П.Сагайдачного, 75, смт Шкло, Яворівський р-н, Львівська обл., 81050","1164","411","1173","6","747","6","753","","0","747","6","753","21","732","17","0","2","0","1","2","4","142","557","2","4","0","1","01.11.12"
"461605","122","Львівська область","санаторій ""Шкло"", актова зала, 1-й поверх.
вул.Курортна, 1, смт Шкло, Яворівський р-н, Львівська обл., 81050","528","191","522","1","336","1","337","","0","336","1","337","6","331","6","3","3","0","1","0","6","79","229","2","2","0","0","29.10.12"
"461606","122","Львівська область","адмінбудинок водоканалу, фойє.
адмінбудинок водоканалу, с.Солиги, Яворівський р-н, Львівська обл., 81050","252","88","257","4","160","4","164","","0","160","4","164","4","160","1","1","1","0","1","1","0","29","123","1","0","2","0","29.10.12"
"461607","122","Львівська область","сільська рада, сесійний зал.
сільська рада, с.Бердихів, Яворівський р-н, Львівська обл., 81064","594","157","594","29","409","28","437","","0","409","28","437","10","427","5","0","0","1","0","0","1","112","301","5","0","1","1","29.10.12"
"461608","122","Львівська область","школа, актова зала
461608 вул.Шкільна, 27, с.Підлуби, Яворівський р-н, Львівська обл.,81064","558","156","552","23","379","23","402","","0","379","23","402","3","399","0","1","0","0","0","0","2","56","335","4","0","0","1","28.10.12"
"461609","122","Львівська область","клуб, зал.
клуб, с.Молошковичі, Яворівський р-н, Львівська обл., 81064","534","208","532","25","301","25","326","","0","301","25","326","7","319","4","0","1","0","0","1","3","146","159","3","1","0","1","29.10.12"
"461610","122","Львівська область","школа, актова зала.
вул.Польова, 8А, с.Бірки, Яворівський р-н, Львівська обл., 81092","1854","458","1866","47","1351","45","1396","","0","1351","45","1396","55","1341","25","5","16","8","8","6","11","418","782","13","26","6","17","29.10.12"
"461611","122","Львівська область","народний дім, зал.
вул.Центральна, 1, с.Рокитне, Яворівський р-н, Львівська обл., 81092","246","79","245","22","145","22","167","","0","145","22","167","4","163","4","0","1","0","1","0","3","73","71","3","5","1","1","29.10.12"
"461612","122","Львівська область","школа, актова зала.
вул.Шкільна, 22, с.Бунів, Яворівський р-н, Львівська обл., 81040","564","159","562","26","379","26","405","","0","379","26","405","4","401","4","1","4","0","0","0","0","139","244","9","0","0","0","29.10.12"
"461613","122","Львівська область","народний дім, зал.
вул.С.Бандери, 3, с.Іваники, Яворівський р-н, Львівська обл., 81040","114","27","112","7","81","6","87","","0","81","6","87","7","80","0","0","2","0","1","0","0","15","59","2","0","0","1","29.10.12"
"461614","122","Львівська область","школа, актова зала.
вул.Садова, 29, с.Великополе, Яворівський р-н, Львівська обл., 81075","432","96","431","36","303","33","336","","0","303","33","336","4","332","3","1","0","1","0","0","0","121","196","8","2","0","0","29.10.12"
"461615","122","Львівська область","народний дім, зал.
вул.Джерельна, 17, с.Затока, Яворівський р-н, Львівська обл., 81075","312","60","320","14","240","12","252","","0","240","12","252","2","250","1","0","3","0","0","0","0","103","140","3","0","0","0","29.10.12"
"461616","122","Львівська область","народний дім, зал.
вул.Центральна, 10, с.Вербляни, Яворівський р-н, Львівська обл., 81017","918","311","917","29","578","29","607","","0","578","29","607","6","601","1","1","2","1","0","1","1","105","470","18","0","1","0","29.10.12"
"461617","122","Львівська область","школа, актова зала.
вул.Шкільна, 9, с.Дацьки, Яворівський р-н, Львівська обл., 81017","516","142","541","33","343","31","374","","0","343","31","374","4","370","1","1","0","0","0","1","0","95","265","7","0","0","0","29.10.12"
"461618","122","Львівська область","школа, актова зала.
вул.Центральна, 54, с.Коти, Яворівський р-н, Львівська обл., 81017","966","289","969","19","658","19","677","","0","658","19","677","10","667","0","0","0","2","1","1","0","99","559","4","1","0","0","29.10.12"
"461619","122","Львівська область","школа, актова зала.
вул.Д.Галицького, 42, с.Віжомля, Яворівський р-н, Львівська обл., 81067","918","308","906","58","552","58","610","","0","552","58","610","14","596","2","0","3","1","3","1","3","282","296","2","1","1","1","29.10.12"
"461620","122","Львівська область","народний дім, зал
вул.Лісова, 19, с.Новосілки, Яворівський р-н, Львівська обл., 81067","180","62","177","13","105","13","118","","0","105","13","118","6","112","0","0","2","2","0","0","0","61","41","4","1","1","0","29.10.12"
"461621","122","Львівська область","ФАП, фойє.
вул.Червоної Калини, 21, с.Глинець, Яворівський р-н, Львівська обл., 81067","156","49","155","31","78","29","107","","0","78","29","107","4","103","1","0","2","0","0","0","0","70","28","2","0","0","0","29.10.12"
"461622","122","Львівська область","школа, актова зала.
вул.Миру, 10А, с.Вороців, Яворівський р-н, Львівська обл., 81086","972","222","971","33","718","32","750","","0","718","32","750","15","735","5","1","2","2","2","4","6","313","378","8","6","2","6","29.10.12"
"461623","122","Львівська область","школа, актова зала.
вул.Т.Шевченка, 45А, с.Карачинів, Яворівський р-н, Львівська обл., 81087","444","77","448","15","352","15","367","","0","352","15","367","3","364","2","1","1","0","0","1","2","155","197","2","0","2","1","29.10.12"
"461624","122","Львівська область","школа, фойє.
вул.Польова, 10А, с.Паланки, Яворівський р-н, Львівська обл., 81086","348","95","352","10","243","10","253","","0","243","10","253","6","247","2","0","0","0","0","0","1","59","178","1","5","1","0","29.10.12"
"461625","122","Львівська область","клуб, зал.
вул.Т.Шевченка, 67А, с.Добростани, Яворівський р-н, Львівська обл., 81091","1014","266","1015","69","685","63","748","","0","685","63","748","23","725","14","1","7","1","2","5","4","297","374","4","10","2","4","30.10.12"
"461626","122","Львівська область","школа, актова зала.
вул.Пилипи, 31, с.Воля-Добростанська, Яворівський р-н, Львівська обл., 81091","468","119","473","37","312","37","349","","0","312","37","349","4","345","7","0","2","0","0","3","1","122","201","1","3","5","0","29.10.12"
"461627","122","Львівська область","школа, актова зала.
вул.Центральна, 1А, с.Домажир, Яворівський р-н, Львівська обл., 81083","606","145","612","19","442","19","461","","0","442","19","461","9","452","3","3","9","1","0","1","1","154","267","11","1","0","1","29.10.12"
"461628","122","Львівська область","клуб, зал
вул.Центральна, 1А, с.Жорниська, Яворівський р-н, Львівська обл., 81083","294","36","295","14","245","13","258","","0","245","13","258","3","255","4","0","6","0","0","1","2","145","86","8","1","1","1","29.10.12"
"461629","122","Львівська область","клуб, зал.
вул.Центральна, 1А, с.Зелів, Яворівський р-н, Львівська обл., 81083","210","35","214","8","167","8","175","","0","167","8","175","2","173","0","0","0","0","1","0","1","104","60","2","3","1","1","29.10.12"
"461630","122","Львівська область","клуб, зал.
вул.Центральна, 1А, с.Кожичі, Яворівський р-н, Львівська обл., 81084","480","74","487","18","394","12","406","","0","394","12","406","8","398","5","3","2","2","1","1","3","201","169","5","3","1","2","29.10.12"
"461631","122","Львівська область","школа, актова зала.
вул.Незалежності, 1, с.Дрогомишль, Яворівський р-н, Львівська обл., 81022","792","183","800","45","564","45","609","","0","564","45","609","3","606","0","1","8","0","0","0","3","97","478","17","1","0","1","29.10.12"
"461632","122","Львівська область","ФАП, фойє.
вул.Старицька, 20А, с.Липовець, Яворівський р-н, Львівська обл., 81022","108","35","104","9","66","7","73","","0","66","7","73","2","71","0","0","4","1","0","0","1","10","51","3","0","1","0","29.10.12"
"461633","122","Львівська область","школа, фойє.
вул.Прикордонна, 133, с.Грушів, Яворівський р-н, Львівська обл., 81022","384","94","391","28","262","28","290","","0","262","28","290","6","284","2","0","0","0","1","3","0","40","226","10","0","2","0","29.10.12"
"461634","122","Львівська область","клуб, зал.
вул.Молодіжна, 2, с.Завадів, Яворівський р-н, Львівська обл., 81020","900","218","903","61","624","58","682","","0","624","58","682","2","680","1","0","0","0","1","0","1","80","593","4","0","0","0","29.10.12"
"461635","122","Львівська область","школа, фойє.
вул.Зелена, 9, с.Колониці, Яворівський р-н, Львівська обл., 81020","180","28","181","11","141","11","152","","0","141","11","152","0","152","0","0","0","0","0","0","0","53","95","4","0","0","0","29.10.12"
"461636","122","Львівська область","клуб, зал.
вул.С.Бандери, 84, с.Щеплоти, Яворівський р-н, Львівська обл., 81020","210","64","206","15","131","15","146","","0","131","15","146","0","146","0","1","0","0","0","1","0","29","113","2","0","0","0","29.10.12"
"461637","122","Львівська область","клуб, зал.
вул.І.Хрестителя, 1А, с.Поруби, Яворівський р-н, Львівська обл., 81020","330","49","324","23","258","23","281","","0","258","23","281","2","279","1","0","0","0","0","0","0","60","216","2","0","0","0","29.10.12"
"461638","122","Львівська область","клуб, зал.
клуб, с.Залужжя, Яворівський р-н, Львівська обл., 81023","1062","319","1048","30","714","29","743","","0","714","29","743","12","731","5","1","2","3","3","0","1","124","572","16","2","0","2","29.10.12"
"461639","122","Львівська область","клуб, зал.
клуб, с.Старий Яр, Яворівський р-н, Львівська обл., 81023","960","270","958","26","664","26","690","","0","664","26","690","11","679","1","0","0","0","0","23","1","65","583","4","1","0","1","29.10.12"
"461640","122","Львівська область","клуб, зал.
клуб, с.Новини, Яворівський р-н, Львівська обл., 81023","582","205","581","32","345","32","377","","0","345","32","377","6","371","2","0","0","0","0","0","0","34","333","2","0","0","0","29.10.12"
"461641","122","Львівська область","ФАП, фойє.
ФАП, с.Цетуля, Яворівський р-н, Львівська обл., 81023","252","76","256","10","166","10","176","","0","166","10","176","4","172","0","0","0","2","0","0","2","13","150","3","1","1","0","29.10.12"
"461642","122","Львівська область","їдальня,школа
вул.П.Дорошенка, 3, с.Калинівка, Яворівський р-н, Львівська обл., 81042","384","117","380","10","259","8","267","","0","259","8","267","7","260","0","0","0","1","0","1","0","114","136","6","0","2","0","30.10.12"
"461643","122","Львівська область","клуб, зал.
вул.Т.Шевченка, 7, с.Поруденко, Яворівський р-н, Львівська обл., 81042","390","121","390","15","254","15","269","","0","254","15","269","2","267","1","0","5","1","0","1","0","119","132","5","0","1","2","29.10.12"
"461644","122","Львівська область","клуб, зал.
вул.Львівська, 76, с.Шутова, Яворівський р-н, Львівська обл., 81042","336","107","334","10","220","9","229","","0","220","9","229","9","220","0","0","10","0","1","0","0","53","147","8","1","0","0","29.10.12"
"461645","122","Львівська область","школа, актова зала.
школа, с.Кам’янобрід, Яворівський р-н, Львівська обл., 81074","882","178","884","66","639","65","704","","0","639","65","704","9","695","17","3","13","3","0","2","5","255","385","4","7","0","1","29.10.12"
"461646","122","Львівська область","клуб, зал.
вул.Центральна, 1, с.Любині, Яворівський р-н, Львівська обл., 81037","684","132","699","68","488","64","552","","0","488","64","552","14","538","7","1","9","2","3","3","5","193","304","7","3","1","0","30.10.12"
"461647","122","Львівська область","школа, актова зала.
вул.Червоної Калини, 39, с.Воля Любинська, Яворівський р-н, Львівська обл., 81037","348","122","347","17","209","17","226","","0","209","17","226","5","221","0","1","8","0","0","3","3","62","136","4","3","1","0","29.10.12"
"461648","122","Львівська область","народний дім, зал
вул.Вільхова, 8, с.Роснівка, Яворівський р-н, Львівська обл., 81037","144","38","139","3","103","3","106","","0","103","3","106","1","105","0","0","0","0","0","0","1","19","83","2","0","0","0","28.10.12"
"461649","122","Львівська область","школа, актова зала.
вул.Т.Шевченка, 2, с.Сарни, Яворівський р-н, Львівська обл., 81037","366","88","370","39","240","38","278","","0","240","38","278","1","277","9","0","0","0","1","1","0","38","220","8","0","0","0","29.10.12"
"461650","122","Львівська область","актова зала, школа.
вул.Кутець, 2А, с.Лозино, Яворівський р-н, Львівська обл.,81080","702","216","702","54","437","49","486","","0","437","49","486","6","480","7","1","4","1","2","3","3","139","305","9","5","0","1","29.10.12"
"461651","122","Львівська область","народний дім, зал.
вул.Середина, 1А, с.Дубровиця, Яворівський р-н, Львівська обл., 81080","318","91","320","31","197","30","227","","0","197","30","227","5","222","7","1","3","1","0","0","1","127","73","5","4","0","0","29.10.12"
"461652","122","Львівська область","народний дім №1, зал.
вул.Центральна, 220, с.Мальчиці, Яворівський р-н, Львівська обл., 81077","474","118","480","26","330","26","356","","0","330","26","356","11","345","3","0","1","1","1","2","0","130","199","4","3","0","1","29.10.12"
"461653","122","Львівська область","народний дім №2, зал.
вул.Т.Шевченка, 52, с.Мальчиці, Яворівський р-н, Львівська обл., 81077","276","76","281","14","186","14","200","","0","186","14","200","9","191","1","0","1","0","1","1","2","58","119","6","2","0","0","29.10.12"
"461654","122","Львівська область","школа, актова зала.
вул.Центральна, 3, с.Мужиловичі, Яворівський р-н, Львівська обл., 81063","750","291","756","21","440","19","459","","0","440","19","459","6","453","6","2","1","2","2","2","1","179","252","5","0","1","0","29.10.12"
"461655","122","Львівська область","актова зала, школа.
вул.Л.Українки, 8/2, с.Нагачів, Яворівський р-н, Львівська обл., 81021","2262","708","2274","135","1423","131","1554","","0","1423","131","1554","23","1531","14","0","3","3","2","2","12","473","1009","8","0","1","4","29.10.12"
"461656","122","Львівська область","народний дім, зал.
вул.І.Богослова, 71, с.Семирівка, Яворівський р-н, Львівська обл., 81021","318","79","321","17","222","17","239","","0","222","17","239","0","239","0","0","0","0","1","0","1","80","152","4","1","0","0","29.10.12"
"461657","122","Львівська область","школа, актова зала.
вул.Кн.Ольги, 80, с.Липина, Яворівський р-н, Львівська обл., 81021","222","57","222","11","154","11","165","","0","154","11","165","0","165","1","0","0","2","0","0","0","65","93","3","0","1","0","29.10.12"
"461658","122","Львівська область","клуб, зал.
вул.Яворівська, 19, с.Наконечне Перше, Яворівський р-н, Львівська обл., 81032","888","226","894","19","643","19","662","","0","643","19","662","10","652","5","0","2","0","0","1","0","94","542","8","0","0","0","29.10.12"
"461659","122","Львівська область","клуб, зал.
вул.І.Франка, 208, с.Наконечне Друге, Яворівський р-н, Львівська обл., 81031","900","271","902","34","596","33","629","","0","596","33","629","9","620","3","0","2","0","1","1","2","113","491","4","0","3","0","29.10.12"
"461660","122","Львівська область","сільська рада, сесійна зала.
вул.Т.Шевченка, 1А, с.Поріччя, Яворівський р-н, Львівська обл., 81070","336","68","340","21","248","20","268","","0","248","20","268","3","265","3","0","0","0","0","0","2","143","110","6","1","0","0","29.10.12"
"461661","122","Львівська область","школа, кл.1Б
вул.Зелена, 1, с.Ямельня, Яворівський р-н, Львівська обл., 81070","402","83","409","21","298","21","319","","0","298","21","319","0","319","3","4","1","0","0","0","1","131","167","9","2","1","0","29.10.12"
"461662","122","Львівська область","школа, актова зала.
вул.А.Калитки, 17, с.Страдч, Яворівський р-н, Львівська обл., 81070","750","168","800","27","555","27","582","","0","555","27","582","7","575","7","0","0","0","1","1","6","175","368","12","1","2","2","29.10.12"
"461663","122","Львівська область","461663 вул.А.Шептицького, 67, с.Прилбичі, Яворівський р-н, Львівська обл., 81062, актова зала
461663 вул.А.Шептицького, 67, с.Прилбичі, Яворівський р-н, Львівська обл., 81062","1746","547","1772","72","1128","71","1199","","0","1128","71","1199","19","1180","10","1","0","1","1","2","4","253","899","6","1","2","0","29.10.12"
"461664","122","Львівська область","школа, актова зала.
вул.Центрльн, 9, с.Рогізно, Яворівський р-н, Львівська обл., 81043","1134","403","1147","71","661","70","731","","0","661","70","731","10","721","2","0","0","4","1","2","1","151","551","3","3","1","2","29.10.12"
"461665","122","Львівська область","школа, актова зала.
вул.Воля, 1, с.Черчик, Яворівський р-н, Львівська обл., 81043","666","187","685","20","460","19","479","","0","460","19","479","3","476","5","1","2","0","0","1","1","101","361","4","0","0","0","29.10.12"
"461666","122","Львівська область","школа, спортзал.
вул.Мариновича, 65, с.Оселя, Яворівський р-н, Львівська обл., 81044","678","204","680","58","416","58","474","","0","416","58","474","8","466","1","1","8","0","0","0","1","231","213","8","1","1","1","30.10.12"
"461667","122","Львівська область","сільська рада, сесійна зала.
пл.Незалежності, 1, с.Рясне-Руське, Яворівський р-н, Львівська обл., 81085","1716","488","1711","26","1205","23","1228","","0","1205","23","1228","43","1185","34","5","5","8","4","4","5","436","625","11","21","6","21","28.10.12"
"461668","122","Львівська область","клуб, зал
вул.Сонячна, 12, с.Руда-Краковецька, Яворівський р-н, Львівська обл., 81008","474","151","467","6","317","6","323","","0","317","6","323","9","314","2","0","1","2","2","2","0","119","177","6","2","0","1","29.10.12"
"461669","122","Львівська область","школа, фойє
вул.Шкільна, 2, с.Свидниця, Яворівський р-н, Львівська обл., 81006","468","114","481","17","338","16","354","","0","338","16","354","7","347","6","1","2","0","0","1","0","133","186","14","1","1","2","29.10.12"
