"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабій
Григорій
Ярославович","Басараба
Петро
Дмитрович","Босий
Володимир
Ігорович","Величко
Роман
Андрійович","Гаршин
Віктор
Миколайович","Глова
Ігор
Григорович","Жук
Ганна
Михайлівна","Козак
Тарас
Романович","Пазиняк
Василь
Степанович","Савуляк
Сергій
Маркіянович","Сміщук
Сергій
Леонідович","Франко
Степан
Михайлович","Якимович
Богдан
Зіновійович","Дата підписання протоколу"
"460436","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Гончарі, 40, с.Старе Село, Жовківський р-н, Львівська обл., 80318","306","67","298","28","215","24","239","","0","215","24","239","2","237","0","0","1","0","0","0","1","64","159","9","1","2","0","28.10.12"
"460437","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Гайові, 75, с.Липник, Жовківський р-н, Львівська обл., 80318","624","155","621","59","414","55","469","","0","414","55","469","9","460","1","0","2","1","2","1","1","238","189","21","1","1","2","29.10.12"
"460438","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Помлинів, 54, с.Помлинів, Жовківський р-н, Львівська обл., 80318","198","42","197","25","131","25","156","","0","131","25","156","1","155","0","0","1","0","1","0","0","60","85","8","0","0","0","28.10.12"
"460439","122","Львівська область","народний дім, актова зала, 1-й поверх
пл.Лесі Українки, 3, с.Нова Кам’янка, Жовківський р-н, Львівська обл., 80330","1182","364","1168","40","780","38","818","","0","780","38","818","12","806","1","1","6","2","4","2","6","394","370","12","5","1","2","29.10.12"
"460440","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Повстанська, 25, с.Пирятин, Жовківський р-н, Львівська обл., 80333","306","70","301","34","202","34","236","","0","202","34","236","4","232","0","0","4","0","0","2","2","64","140","16","2","1","1","29.10.12"
"460441","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Центральна, 15, с.Бишків, Жовківський р-н, Львівська обл., 80333","684","174","676","64","447","63","510","","0","447","63","510","17","493","0","0","4","0","0","0","0","194","287","4","2","1","1","29.10.12"
"460442","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.М.Грушевського, 8, с.Боброїди, Жовківський р-н, Львівська обл., 80334","462","122","457","44","303","37","340","","0","303","37","340","3","337","3","2","4","0","0","1","0","151","165","5","6","0","0","29.10.12"
"460443","122","Львівська область","школа, фойє, 1-й поверх
вул.Шевченка, 55Б, с.Любеля, Жовківський р-н, Львівська обл., 80331","1140","416","1134","42","687","37","724","","0","687","37","724","16","708","1","3","7","1","7","4","5","401","234","31","10","1","3","29.10.12"
"460444","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Ів.Франка, 3В, с.Боянець, Жовківський р-н, Львівська обл., 80340","1278","347","1268","41","890","41","931","","0","890","41","931","25","906","4","4","8","3","5","3","2","382","404","74","10","2","5","29.10.12"
"460445","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Підлісна, 1, с.Купичволя, Жовківський р-н, Львівська обл., 80341","612","189","607","47","376","47","423","","0","376","47","423","18","405","1","1","4","0","0","0","1","148","228","18","3","1","0","29.10.12"
"460446","122","Львівська область","школа, к.2, 1-й поверх
вул.Л.Мартовича, 4А, с.Монастирок, Жовківський р-н, Львівська обл., 80326","744","187","721","102","472","85","557","","0","472","85","557","23","534","8","2","6","7","2","5","7","342","142","12","1","0","0","29.10.12"
"460447","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Шевченка, 61А, с.Замок, Жовківський р-н, Львівська обл., 80322","468","89","464","30","349","30","379","","0","349","30","379","11","368","0","1","2","0","1","0","3","222","124","10","5","0","0","28.10.12"
"460448","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Богдана Хмельницького, 58А, с.Кам’яна Гора, Жовківський р-н, Львівська обл., 80324","552","110","544","61","384","58","442","","0","384","58","442","11","431","0","0","1","4","0","2","3","212","184","17","5","3","0","29.10.12"
"460449","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Івана Франка, 33Б, с.Погарисько, Жовківський р-н, Львівська обл., 80322","420","83","421","47","290","47","337","","0","290","47","337","6","331","0","1","2","1","0","1","2","225","85","11","3","0","0","29.10.12"
"460450","122","Львівська область","школа, к.2, 1-й поверх
вул.Лесі Українки, 35А, с.Думичі, Жовківський р-н, Львівська обл., 80322","414","106","405","60","254","54","308","","0","254","54","308","6","302","1","0","0","0","0","0","3","140","112","42","1","1","2","29.10.12"
"460451","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Підліссянська, 63А, с.Підлісся, Жовківський р-н, Львівська обл., 80327","456","102","448","69","286","68","354","","0","286","68","354","9","345","1","0","2","0","1","0","3","205","120","10","3","0","0","29.10.12"
"460452","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Л.Мартовича, 46А, с.Зубейки, Жовківський р-н, Львівська обл., 80335","342","71","340","43","230","41","271","","0","230","41","271","7","264","2","1","4","1","1","1","0","156","86","11","1","0","0","29.10.12"
"460453","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Клубна, 2Б, с.Лавриків, Жовківський р-н, Львівська обл., 80335","1434","461","1417","60","915","58","973","","0","915","58","973","36","937","2","1","4","5","2","0","11","401","476","28","5","1","1","29.10.12"
"460454","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Центральна, 54В, с.Городжів, Жовківський р-н, Львівська обл., 80336","768","208","761","36","524","36","560","","0","524","36","560","11","549","3","0","5","0","2","0","2","371","155","9","2","0","0","30.10.12"
"460455","122","Львівська область","сільська рада, зала урочистих подій, 1-й поверх
пл.40-річчя Перемоги, 3, с.Добросин, Жовківський р-н, Львівська обл., 80337","1596","449","1584","56","1093","54","1147","","0","1093","54","1147","21","1126","4","1","127","3","0","1","5","447","519","13","5","0","1","29.10.12"
"460456","122","Львівська область","школа, кл.3, 1-й поверх
вул.Шкільна, 59Б, с.Пили, Жовківський р-н, Львівська обл., 80337","438","102","436","10","326","10","336","","0","326","10","336","6","330","2","1","8","1","1","1","1","167","127","19","1","0","1","29.10.12"
"460457","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Шевченка, 113А, с.Замочок, Жовківський р-н, Львівська обл., 80338","804","224","796","22","559","21","580","","0","559","21","580","14","566","3","0","4","5","3","3","3","231","285","23","4","0","2","28.10.12"
"460458","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.1 Травня, 1А, с.Кулява, Жовківський р-н, Львівська обл., 80342","450","150","443","6","294","6","300","","0","294","6","300","12","288","1","0","2","3","0","0","2","165","93","15","2","2","3","29.10.12"
"460459","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Т.Г.Шевченка, 52, с.Деревня, Жовківський р-н, Львівська обл., 80342","1002","332","993","39","632","38","670","","0","632","38","670","21","649","6","1","7","4","8","4","6","345","232","20","6","2","8","29.10.12"
"460460","122","Львівська область","школа, актова зала, 2-й поверх
вул.Б.Хмельницького, 44, с.Туринка, Жовківський р-н, Львівська обл., 80342","1752","564","1741","117","1134","54","1188","","0","1134","54","1188","32","1156","6","4","8","5","2","2","5","470","616","27","8","2","1","29.10.12"
"460461","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Л.Українки, 27, с.В’язова, Жовківський р-н, Львівська обл., 80344","546","147","540","40","362","37","399","","0","362","37","399","12","387","3","1","6","2","2","1","0","147","167","52","6","0","0","29.10.12"
"460462","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Шевченка, 4, смт Магерів, Жовківський р-н, Львівська обл., 80327","1758","612","1731","55","1092","54","1146","","0","1092","54","1146","31","1115","4","2","13","1","3","5","3","518","522","26","6","4","8","29.10.12"
