"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вакулін
Дмитро
Сергійович","Голубєв
Михайло
Михайлович","Груба
Григорій
Іванович","Гуріненко
Олексій
Миколайович","Казарін
Володимир
Павлович","Книрік
Костянтин
Сергійович","Коз’якова
Ірена
В’ячеславівна","Костюк
Віктор
Георгійович","Крутов
Сергій
Валерійович","Макєєв
Михайло
Андрійович","Миронов
Олександр
Володимирович","Писана
Олена
Вікторівна","Поздняков
Андрій
Володимирович","Похилюк
Євгеній
Олександрович","Ременюк
Олексій
Іванович","Решетнікова
Світлана
Анатоліївна","Сейненський
Алішер
Вікторович","Терещенко
Олена
Вікторівна","Тещаєва
Олена
Володимирівна","Тутєров
Володимир
Лукич","Устіменко
Андрій
Ігорович","Хруслова
Ліліана
Мударисівна","Чийгоз
Ахтем
Зейтуллайович"
"010016","10","Автономна Республіка Крим","будівельний технікум, хол
вул.Советська, 9, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","1413","817","1415","10","587","9","596","","0","587","9","596","28","568","22","88","171","3","9","38","0","2","2","3","8","5","18","2","130","3","0","7","4","16","1","0",""
"010017","10","Автономна Республіка Крим","будівельний ліцей, хол
вул.Советська, 11, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","1704","943","1704","172","614","147","761","","0","614","147","761","74","687","34","95","242","4","7","34","5","5","4","8","12","2","27","3","128","0","1","6","2","21","1","5",""
"010018","10","Автономна Республіка Крим","обсерваторія, хол
обсерваторія, смт Научний, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","588","218","587","6","364","6","370","","0","364","6","370","17","353","20","36","179","3","7","18","1","2","1","10","3","4","3","1","41","1","2","3","2","9","2","1",""
"010019","10","Автономна Республіка Крим","клуб, хол
вул.Скальна, 29А, с.Ароматне, Бахчисарайський р-н, Автономна Республіка Крим, 98444","828","395","826","23","410","23","433","","0","410","23","433","14","419","10","42","240","0","0","6","2","5","2","0","6","4","13","1","26","1","4","3","2","5","2","1",""
"010020","10","Автономна Республіка Крим","школа, їдальня
вул.Золоте Кільце, 3, с.Вікторівка, Бахчисарайський р-н, Автономна Республіка Крим, 98445","1131","522","1124","12","598","11","609","","0","598","11","609","14","595","18","8","148","3","2","2","2","1","1","1","3","3","1","1","16","2","6","3","1","16","1","4",""
"010021","10","Автономна Республіка Крим","будинок представництва РГГРУ, хол
вул.Студентська, 46А, с.Прохладне, Бахчисарайський р-н, Автономна Республіка Крим, 98443","498","265","491","8","225","8","233","","0","225","8","233","7","226","15","15","78","11","3","2","1","1","3","2","2","3","2","0","24","0","0","1","2","14","1","1",""
"010022","10","Автономна Республіка Крим","ФАП, хол
вул.Садова, 15, с.Трудолюбівка, Бахчисарайський р-н, Автономна Республіка Крим, 98441","384","191","381","6","187","6","193","","0","187","6","193","10","183","7","25","63","2","3","6","0","0","0","3","0","1","0","1","8","1","0","2","1","11","0","0",""
"010023","10","Автономна Республіка Крим","будинок культури, хол
вул.Леніна, 57, с.Скалисте, Бахчисарайський р-н, Автономна Республіка Крим, 98440","2415","1316","2394","12","1088","11","1099","","0","1088","11","1099","61","1038","31","142","369","5","14","16","6","2","2","23","14","13","4","1","96","6","6","14","7","36","13","3",""
"010024","10","Автономна Республіка Крим","клуб, хол
вул.50 років ВЛКСМ, 14, с.Глибокий Яр, Бахчисарайський р-н, Автономна Республіка Крим, 98442","462","209","457","14","239","14","253","","0","239","14","253","8","245","16","19","84","1","1","12","1","2","3","1","2","0","3","2","12","0","3","2","3","13","1","0",""
"010025","10","Автономна Республіка Крим","клуб, актова зала
вул.Партизанська, 3, с.Малинівка, Бахчисарайський р-н, Автономна Республіка Крим, 98420","984","498","969","8","478","8","486","","0","478","8","486","22","464","16","24","124","1","1","0","1","0","3","4","1","1","0","2","12","0","2","4","2","8","1","4",""
"010026","10","Автономна Республіка Крим","магазин, торговельна зала
вул.Севастопольська, 219, с.Новопавлівка, Бахчисарайський р-н, Автономна Республіка Крим, 98482","926","471","935","13","442","13","455","","0","442","13","455","18","437","19","26","109","2","0","1","2","2","1","6","4","3","4","0","21","1","2","5","0","14","0","5",""
"010027","10","Автономна Республіка Крим","школа, спортивна зала
вул.Леніна, 2, смт Поштове, Бахчисарайський р-н, Автономна Республіка Крим, 98420","2064","1047","2044","21","997","20","1017","","0","997","20","1017","35","982","39","125","501","11","10","12","0","3","2","4","3","7","2","4","60","4","1","2","2","51","1","1",""
"010028","10","Автономна Республіка Крим","бібліотека, читальна зала
вул.Гагаріна, 46, смт Поштове, Бахчисарайський р-н, Автономна Республіка Крим, 98420","903","444","907","33","427","32","459","","0","427","32","459","26","433","14","41","212","0","1","4","0","1","0","4","4","5","2","1","14","2","2","1","1","26","1","2",""
"010029","10","Автономна Республіка Крим","магазин, торговельна зала
вул.Першотравнева, 5, с.Казанки, Бахчисарайський р-н, Автономна Республіка Крим, 98424","309","127","313","10","172","10","182","","0","172","10","182","8","174","5","9","101","0","0","0","1","0","0","2","0","1","0","0","3","0","0","2","1","6","0","1",""
