"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вакулін
Дмитро
Сергійович","Голубєв
Михайло
Михайлович","Груба
Григорій
Іванович","Гуріненко
Олексій
Миколайович","Казарін
Володимир
Павлович","Книрік
Костянтин
Сергійович","Коз’якова
Ірена
В’ячеславівна","Костюк
Віктор
Георгійович","Крутов
Сергій
Валерійович","Макєєв
Михайло
Андрійович","Миронов
Олександр
Володимирович","Писана
Олена
Вікторівна","Поздняков
Андрій
Володимирович","Похилюк
Євгеній
Олександрович","Ременюк
Олексій
Іванович","Решетнікова
Світлана
Анатоліївна","Сейненський
Алішер
Вікторович","Терещенко
Олена
Вікторівна","Тещаєва
Олена
Володимирівна","Тутєров
Володимир
Лукич","Устіменко
Андрій
Ігорович","Хруслова
Ліліана
Мударисівна","Чийгоз
Ахтем
Зейтуллайович"
"010061","10","Автономна Республіка Крим","будинок культури, хол
вул.Центральна, 7, с.Холмівка, Бахчисарайський р-н, Автономна Республіка Крим, 98465","1770","886","1768","29","855","29","884","","0","855","29","884","42","842","46","47","342","4","4","7","5","7","1","7","14","6","11","7","34","2","3","3","2","30","1","2",""
"010062","10","Автономна Республіка Крим","школа, актова зала
вул.Гагаріна, 21А, с.Танкове, Бахчисарайський р-н, Автономна Республіка Крим, 98471","1110","514","1103","30","566","30","596","","0","565","30","595","21","574","15","57","238","1","3","7","0","2","0","1","5","5","14","2","68","1","0","2","2","8","1","3",""
"010063","10","Автономна Республіка Крим","бібліотека, читальна зала
вул.Хрустальова, 13, с.Мале Садове, Бахчисарайський р-н, Автономна Республіка Крим, 98470","525","249","520","15","261","15","276","","0","261","15","276","11","265","5","32","88","0","2","19","0","2","1","1","4","0","1","0","49","1","0","3","0","9","1","1",""
"010064","10","Автономна Республіка Крим","будинок культури, хол
вул.Леніна, 9, смт Куйбишеве, Бахчисарайський р-н, Автономна Республіка Крим, 98470","1212","597","1200","20","595","20","615","","0","595","20","615","32","583","14","34","216","3","7","21","4","1","2","1","5","3","2","3","113","0","3","3","0","11","1","4",""
"010065","10","Автономна Республіка Крим","школа, актова зала
вул.Леніна, 50, смт Куйбишеве, Бахчисарайський р-н, Автономна Республіка Крим, 98470","717","346","711","25","346","25","371","","0","346","25","371","7","364","13","34","156","1","3","14","1","1","1","2","2","1","4","1","62","1","1","2","2","7","3","0",""
"010066","10","Автономна Республіка Крим","будинок культури, хол
вул.Куйбишевська, 13, с.Високе, Бахчисарайський р-н, Автономна Республіка Крим, 98470","129","42","129","8","79","8","87","","0","79","8","87","3","84","0","2","40","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0",""
"010067","10","Автономна Республіка Крим","ФАП, актова зала
вул.Джерельна, 1А, с.Новоульянівка, Бахчисарайський р-н, Автономна Республіка Крим, 98470","240","75","242","7","158","7","165","","0","158","7","165","7","158","10","10","71","0","1","1","0","0","1","0","0","0","1","0","14","0","2","0","0","3","0","1",""
"010068","10","Автономна Республіка Крим","будинок культури, зал
вул.Леніна, 27А, с.Голубинка, Бахчисарайський р-н, Автономна Республіка Крим, 98474","1572","815","1551","34","724","33","757","","0","724","33","757","26","731","14","37","272","1","5","9","4","2","3","1","5","4","3","1","28","3","2","4","0","59","3","1",""
"010069","10","Автономна Республіка Крим","приватне домоволодіння, кімната відпочинку
вул.Молодіжна, 19А, с.Путилівка, Бахчисарайський р-н, Автономна Республіка Крим, 98474","726","451","705","12","263","12","275","","0","263","12","275","12","263","9","17","115","2","1","2","1","1","2","2","2","1","0","1","5","3","0","0","2","18","0","1",""
"010070","10","Автономна Республіка Крим","школа, актова зала
вул.Леніна, 1А, с.Соколине, Бахчисарайський р-н, Автономна Республіка Крим, 98475","744","380","736","25","339","25","364","","0","339","25","364","17","347","10","33","167","1","0","0","0","1","6","3","1","1","2","2","17","0","1","1","3","14","0","3",""
"010071","10","Автономна Республіка Крим","КРУ ""Соколинський інтернат"", спортивна зала
вул.Лісова, 2, с.Соколине, Бахчисарайський р-н, Автономна Республіка Крим, 98475","330","25","345","122","187","118","305","","0","187","118","305","31","274","13","10","179","5","2","1","5","3","2","1","3","1","3","2","5","2","1","1","0","1","3","8",""
"010072","10","Автономна Республіка Крим","будинок культури, хол
вул.Леніна, 18А, с.Плотинне, Бахчисарайський р-н, Автономна Республіка Крим, 98473","579","251","573","13","315","13","328","","0","315","13","328","10","318","7","17","135","3","2","1","0","0","1","4","1","0","4","1","8","1","1","2","2","17","2","2",""
"010073","10","Автономна Республіка Крим","сільська рада, кімната засідань
вул.Поштова, 3, с.Зелене, Бахчисарайський р-н, Автономна Республіка Крим, 98472","357","177","346","18","162","18","180","","0","162","18","180","6","174","3","14","49","0","1","1","0","1","1","0","0","1","4","1","11","0","0","1","1","10","0","2",""
"010074","10","Автономна Республіка Крим","ФАП, хол
вул.Леніна, 28А, с.Щасливе, Бахчисарайський р-н, Автономна Республіка Крим, 98476","354","158","344","7","189","7","196","","0","189","7","196","5","191","5","11","87","0","1","0","1","1","0","4","0","1","5","0","2","0","2","0","0","7","1","2",""
"010075","10","Автономна Республіка Крим","Бахчисарайська центральна районна лікарня, адміністративний корпус, хол
вул.Советська, 13, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","333","229","136","43","71","33","104","","0","71","33","104","6","98","2","4","41","3","0","3","1","0","0","2","1","2","4","0","14","0","1","4","0","2","0","4",""
"010564","10","Автономна Республіка Крим","школа №3, актова зала
вул.Єфімова, 5, смт Гвардійське, Сімферопольський р-н, Автономна Республіка Крим, 97513","1839","951","1834","23","867","21","888","","0","867","21","888","38","850","68","125","448","6","8","2","18","6","7","22","3","6","2","8","13","6","3","5","4","8","2","2",""
"010565","10","Автономна Республіка Крим","територіальний центр, актова зала
вул.Березовського, 10, смт Гвардійське, Сімферопольський р-н, Автономна Республіка Крим, 97513","1182","586","1179","32","566","30","596","","0","566","30","596","31","565","42","70","295","1","7","1","13","1","1","6","1","7","0","1","6","9","2","7","3","1","2","2",""
"010566","10","Автономна Республіка Крим","школа №1, спортивна зала
вул.Карла Маркса, 97, смт Гвардійське, Сімферопольський р-н, Автономна Республіка Крим, 97513","2430","1452","2409","14","966","12","978","","0","965","12","977","46","931","56","125","480","3","10","2","33","4","3","29","3","8","7","8","6","3","3","10","5","10","3","4",""
"010567","10","Автономна Республіка Крим","школа-інтернат, спортивна зала
вул.Вишнева, 11, смт Гвардійське, Сімферопольський р-н, Автономна Республіка Крим, 97513","1839","1025","1829","45","771","43","814","","0","770","43","813","29","784","51","57","357","6","12","1","15","5","3","5","5","3","2","3","8","1","5","11","3","10","1","3",""
"010568","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Центральна, 76, с.Софіївка, Сімферопольський р-н, Автономна Республіка Крим, 97518","1848","974","1836","8","866","8","874","","0","866","8","874","63","811","60","87","362","10","12","5","17","1","4","8","3","4","4","3","8","3","3","12","2","4","0","5",""
"010569","10","Автономна Республіка Крим","школа, фойє
вул.Шкільна, 6, с.Маленьке, Сімферопольський р-н, Автономна Республіка Крим, 97517","798","435","799","4","360","3","363","","0","360","3","363","26","337","29","28","141","0","2","0","1","5","4","5","1","3","2","2","0","5","3","5","2","2","1","1",""
"010570","10","Автономна Республіка Крим","ВСР Нікітського ботанічного саду, адміністративна будівля, фойє
квартал Цвєточний, 17, с.Новий Сад, Сімферопольський р-н, Автономна Республіка Крим, 97517","405","177","400","2","226","2","228","","0","226","2","228","17","211","21","22","121","1","3","1","5","0","1","5","1","0","2","2","2","1","0","0","1","4","2","0",""
"010571","10","Автономна Республіка Крим","школа, фойє
вул.Московська, 23, с.Красна Зорька, Сімферопольський р-н, Автономна Республіка Крим, 97516","2022","1111","2003","19","892","19","911","","0","892","19","911","51","860","48","86","413","8","11","4","24","6","8","8","5","5","5","4","10","8","3","11","7","1","8","5",""
"010572","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Шкільна, 30, с.Маленьке, Сімферопольський р-н, Автономна Республіка Крим, 97513","1263","583","1253","5","678","2","680","","0","678","2","680","43","637","41","82","326","5","12","3","13","8","5","14","4","14","3","7","11","2","4","13","2","7","2","2",""
"010573","10","Автономна Республіка Крим","школа №2, актова зала
вул.Острякова, 1, смт Гвардійське, Сімферопольський р-н, Автономна Республіка Крим, 97515","2430","1192","2404","27","1211","27","1238","","0","1211","27","1238","44","1194","53","172","699","8","23","1","64","9","6","26","4","9","8","11","17","9","3","14","4","6","3","2",""
"010574","10","Автономна Республіка Крим","будинок культури, фойє
вул.54-ї Батареї, 2А, смт Миколаївка, Сімферопольський р-н, Автономна Республіка Крим, 97546","2190","1044","2182","48","1106","40","1146","","0","1106","40","1146","65","1081","69","240","387","15","14","12","5","15","6","141","4","12","2","6","28","10","3","28","5","5","4","4",""
"010575","10","Автономна Республіка Крим","клуб, фойє
вул.Дружби, 49А, с.Роздолля, Сімферопольський р-н, Автономна Республіка Крим, 97547","792","371","787","8","413","8","421","","0","413","8","421","24","397","16","40","151","2","7","3","1","16","7","16","1","6","2","1","14","4","3","6","0","1","1","3",""
"010576","10","Автономна Республіка Крим","школа, актова зала
вул.Терешкової, 8, с.Вінницьке, Сімферопольський р-н, Автономна Республіка Крим, 97549","819","330","813","26","463","26","489","","0","463","26","489","20","469","16","42","232","1","2","0","2","5","4","16","7","3","5","1","11","3","2","7","2","3","3","6",""
"010577","10","Автономна Республіка Крим","клуб, фойє
вул.Будівельників, 5А, с.Теплівка, Сімферопольський р-н, Автономна Республіка Крим, 97548","1536","676","1523","55","806","54","860","","0","806","54","860","29","831","26","31","180","4","5","3","1","11","11","8","6","3","1","1","23","3","3","9","0","5","2","1",""
"010578","10","Автономна Республіка Крим","школа №2, фойє
вул.Шкільна, 2, смт Молодіжне, Сімферопольський р-н, Автономна Республіка Крим, 97501","2016","888","2005","40","1096","32","1128","","0","1096","32","1128","71","1057","103","169","470","9","58","6","3","7","8","24","3","12","7","29","61","5","7","14","6","18","4","5",""
"010579","10","Автономна Республіка Крим","селищна рада, актова зала
вул.Кримська, 7, смт Молодіжне, Сімферопольський р-н, Автономна Республіка Крим, 97501","1947","1000","1931","31","931","16","947","","0","931","16","947","58","889","97","125","393","13","37","4","5","9","16","36","5","14","7","28","26","9","4","11","7","12","3","1",""
"010580","10","Автономна Республіка Крим","клуб, актова зала
вул.Кримська, 6, смт Молодіжне, Сімферопольський р-н, Автономна Республіка Крим, 97501","1875","1089","1863","34","761","25","786","","0","761","25","786","33","753","63","60","199","4","12","2","7","7","6","9","5","5","3","9","31","3","10","5","6","3","3","5",""
"010581","10","Автономна Республіка Крим","клуб, фойє
вул.Центральна, 11, с.Сонячне, Сімферопольський р-н, Автономна Республіка Крим, 97502","858","374","856","32","455","29","484","","0","455","29","484","17","467","14","69","286","4","10","1","3","4","3","4","4","7","2","2","14","1","1","9","4","10","4","3",""
"010582","10","Автономна Республіка Крим","Кубанська школа, спортивна зала
вул.Миру, 32, с-ще Шкільне, Сімферопольський р-н, Автономна Республіка Крим, 97540","1617","869","1599","12","739","9","748","","0","739","9","748","26","722","52","77","422","2","23","4","5","2","6","18","0","3","4","7","3","16","5","9","7","7","8","0",""
"010596","10","Автономна Республіка Крим","будинок культури, танцювальна зала
вул.Миру, 41, с.Журавлівка, Сімферопольський р-н, Автономна Республіка Крим, 97512","1452","607","1445","59","792","53","845","","0","792","53","845","28","817","33","95","473","6","9","5","6","7","8","10","4","4","1","7","6","4","6","7","16","3","5","10",""
"010597","10","Автономна Республіка Крим","будинок культури, фойє
вул.Чехова, 15, с.Кольчугине, Сімферопольський р-н, Автономна Республіка Крим, 97551","1554","792","1543","35","730","32","762","","0","730","32","762","35","727","35","64","268","3","5","0","3","4","6","22","7","5","4","4","16","6","4","76","5","4","3","3",""
"010598","10","Автономна Республіка Крим","школа, фойє
вул.Шкільна, 21, с.Кольчугине, Сімферопольський р-н, Автономна Республіка Крим, 97551","1782","985","1773","43","755","42","797","","0","755","42","797","35","762","29","55","315","4","4","1","6","3","2","12","4","2","1","5","14","6","10","72","2","7","4","5",""
"010599","10","Автономна Республіка Крим","клуб, фойє
пров.Лермонтова, 3, с.Прудове, Сімферопольський р-н, Автономна Республіка Крим, 97553","777","362","768","16","399","16","415","","0","399","16","415","24","391","16","24","122","5","5","0","1","0","3","4","3","1","1","1","5","3","4","1","50","4","0","3",""
"010600","10","Автономна Республіка Крим","клуб, фойє
вул.Калініна, 19А, с.Рівнопілля, Сімферопольський р-н, Автономна Республіка Крим, 97552","750","310","745","25","419","21","440","","0","418","21","439","10","429","14","36","184","6","2","1","1","2","4","5","1","3","1","4","20","3","4","20","4","0","5","5",""
"010604","10","Автономна Республіка Крим","школа №1, спортивна зала
вул.Бєлова, 17, с.Мирне, Сімферопольський р-н, Автономна Республіка Крим, 97503","2457","1329","2436","35","1106","22","1128","","0","1106","22","1128","82","1046","68","138","393","3","12","4","7","8","67","252","4","10","2","8","13","9","3","10","3","11","1","0",""
"010605","10","Автономна Республіка Крим","районний будинок культури, фойє
вул.Бєлова, 3, с.Мирне, Сімферопольський р-н, Автономна Республіка Крим, 97503","2433","1419","2423","30","986","28","1014","","0","986","28","1014","69","945","80","116","392","11","21","3","8","5","34","92","3","3","2","10","5","5","5","12","9","6","2","1",""
"010606","10","Автономна Республіка Крим","школа №2, актова зала
вул.Стадіонна, 1, с.Мирне, Сімферопольський р-н, Автономна Республіка Крим, 97503","1725","890","1701","42","793","42","835","","0","793","42","835","38","797","57","95","363","11","18","3","7","3","21","109","3","4","4","6","8","4","6","9","4","14","4","0",""
"010607","10","Автономна Республіка Крим","козацький ліцей, фойє
вул.Київська, 6А, с.Білоглинка, Сімферопольський р-н, Автономна Республіка Крим, 97507","1713","920","1704","31","763","30","793","","0","763","30","793","57","736","63","70","290","9","20","7","2","4","11","61","4","5","4","8","5","6","3","5","4","5","3","8",""
"010610","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Молодіжна, 68, с.Новоселівка, Сімферопольський р-н, Автономна Республіка Крим, 97550","1197","476","1191","49","675","46","721","","0","675","46","721","28","693","28","95","280","11","2","3","6","4","3","17","2","5","1","5","13","1","5","5","3","5","4","1",""
"010611","10","Автономна Республіка Крим","клуб, актова зала
вул.Паркова, 14, с.Лікарственне, Сімферопольський р-н, Автономна Республіка Крим, 97557","516","221","509","15","280","15","295","","0","280","15","295","16","279","15","39","146","0","1","0","1","2","3","2","0","4","1","0","5","1","2","12","0","2","0","2",""
"010615","10","Автономна Республіка Крим","клуб, актова зала
вул.Шкільна, 26А, с.Дубки, Сімферопольський р-н, Автономна Республіка Крим, 97561","1794","928","1786","19","847","19","866","","0","847","19","866","49","817","67","66","367","9","9","6","4","7","11","10","5","5","3","8","15","3","4","17","4","7","2","5",""
"010616","10","Автономна Республіка Крим","школа, актова зала, 2-й поверх
вул.Перемоги, 23, с.Залісся, Сімферопольський р-н, Автономна Республіка Крим, 97567","1149","532","1145","20","597","20","617","","0","597","20","617","52","565","48","76","285","10","13","3","4","10","10","9","2","4","1","4","10","0","4","11","3","12","4","1",""
"010617","10","Автономна Республіка Крим","клуб, актова зала
вул.Богданова, 2, с.Каштанове, Сімферопольський р-н, Автономна Республіка Крим, 97564","1272","635","1264","19","622","15","637","","0","622","15","637","35","602","40","63","339","4","11","2","4","6","2","57","4","3","2","3","5","1","4","8","2","0","3","1",""
"010618","10","Автономна Республіка Крим","клуб, фойє
вул.Первомайська, 1Б, с.Костянтинівка, Сімферопольський р-н, Автономна Республіка Крим, 97563","1176","453","1167","35","688","35","723","","0","688","35","723","42","681","36","88","339","6","10","1","2","8","15","23","7","3","4","3","14","4","0","12","4","5","3","6",""
"010619","10","Автономна Республіка Крим","школа, актова зала
вул.Сумська, 11А, с.Партизанське, Сімферопольський р-н, Автономна Республіка Крим, 97566","1650","808","1648","34","808","34","842","","0","808","34","842","22","820","76","66","438","8","3","1","1","4","4","30","5","2","1","2","3","3","2","17","4","6","1","2",""
"010620","10","Автономна Республіка Крим","будинок культури, фойє, 2-й поверх
вул.Леніна, 1А, с.Перове, Сімферопольський р-н, Автономна Республіка Крим, 97560","1722","684","1704","35","1007","31","1038","","0","1007","31","1038","61","977","74","128","510","7","32","1","5","4","9","62","5","10","4","13","32","5","5","17","4","10","3","4",""
"010621","10","Автономна Республіка Крим","сільська рада, актова зала, 2-й поверх
вул.Шкільна, 7, с.Перове, Сімферопольський р-н, Автономна Республіка Крим, 97560","1536","616","1524","23","898","22","920","","0","898","22","920","33","887","91","123","468","8","14","1","9","9","6","43","6","5","2","9","21","11","4","13","2","3","1","2",""
"010622","10","Автономна Республіка Крим","школа, їдальня, обідня зала
вул.Осіпова, 1, с.Українка, Сімферопольський р-н, Автономна Республіка Крим, 97562","1494","831","1482","18","646","17","663","","0","646","17","663","37","626","25","40","196","3","5","1","2","3","2","6","0","4","1","1","3","3","7","3","2","3","2","2",""
"010623","10","Автономна Республіка Крим","будинок культури, фойє
вул.Перемоги, 115, с.Пожарське, Сімферопольський р-н, Автономна Республіка Крим, 97554","2307","1167","2302","73","1069","71","1140","","0","1069","71","1140","68","1072","58","92","512","7","5","0","2","6","7","20","4","12","0","3","21","8","8","19","5","4","2","4",""
"010624","10","Автономна Республіка Крим","літній клуб, актова зала
вул.Центральна, 1, с.Лікарственне, Сімферопольський р-н, Автономна Республіка Крим, 97557","549","177","540","18","354","18","372","","0","354","18","372","8","364","9","14","271","1","1","1","1","2","4","5","2","3","2","1","1","2","0","8","0","3","4","2",""
"010625","10","Автономна Республіка Крим","будинок культури, танцювальна зала
вул.40 років Перемоги, 10, с.Родникове, Сімферопольський р-н, Автономна Республіка Крим, 97540","2265","1159","2245","71","1036","70","1106","","0","1036","70","1106","40","1066","58","101","415","12","17","2","1","6","5","15","1","9","4","9","8","112","5","6","4","10","4","3",""
"010626","10","Автономна Республіка Крим","магазин, торговельна зала
вул.Проїздна, 20, с.Курганне, Сімферопольський р-н, Автономна Республіка Крим, 97543","1218","692","1214","30","503","23","526","","0","503","23","526","21","505","25","49","153","6","7","2","2","4","5","4","3","5","2","2","4","33","3","6","3","5","1","4",""
"010627","10","Автономна Республіка Крим","клуб, актова зала
вул.Роздольна, 9А, с.Аркадіївка, Сімферопольський р-н, Автономна Республіка Крим, 97542","492","203","496","12","277","12","289","","0","277","12","289","19","270","10","17","90","2","0","1","4","5","0","2","3","1","0","0","4","13","4","1","1","4","4","0",""
"010628","10","Автономна Республіка Крим","колишня контора КСП ""Родникове"", фойє
вул.Широка, 62Б, с.Шафранне, Сімферопольський р-н, Автономна Республіка Крим, 97540","201","87","190","9","105","9","114","","0","105","9","114","5","109","1","21","50","0","0","1","0","1","0","1","2","1","1","1","3","3","0","3","0","0","1","1",""
"010629","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Калініна, 58, с.Скворцове, Сімферопольський р-н, Автономна Республіка Крим, 97544","2193","1137","2179","33","1023","33","1056","","0","1023","33","1056","58","998","39","148","519","7","21","1","2","5","5","5","3","8","10","8","29","3","6","15","3","3","2","6",""
"010630","10","Автономна Республіка Крим","клуб, актова зала
вул.Мічуріна, 38, с.Колодязне, Сімферопольський р-н, Автономна Республіка Крим, 97545","576","286","575","32","263","27","290","","0","263","27","290","11","279","17","43","138","2","3","2","2","4","1","1","0","1","2","1","6","0","0","4","0","4","0","3",""
"010638","10","Автономна Республіка Крим","будинок культури, танцювальна зала
вул.Путилинська, 20, с.Укромне, Сімферопольський р-н, Автономна Республіка Крим, 97536","2472","1232","2453","53","1187","53","1240","","0","1186","53","1239","59","1180","71","121","499","11","12","6","11","11","6","62","6","11","5","2","12","17","4","17","4","13","3","4",""
"010639","10","Автономна Республіка Крим","ГПСГ ""Плодовод"", їдальня, обідня зала
вул.Совхозна, 6, с.Совхозне, Сімферопольський р-н, Автономна Республіка Крим, 97536","1788","832","1771","40","918","38","956","","0","918","38","956","38","918","50","87","380","5","17","2","9","11","13","35","4","8","5","8","6","6","4","12","3","10","3","5",""
"010640","10","Автономна Республіка Крим","будинок культури, фойє
вул.Шкільна, 2А, с.Урожайне, Сімферопольський р-н, Автономна Республіка Крим, 97535","1443","599","1424","14","832","12","844","","0","832","12","844","49","795","34","87","360","6","11","4","6","8","4","11","3","9","1","3","11","2","3","7","4","8","1","5",""
"010641","10","Автономна Республіка Крим","школа, фойє
вул.40 років Перемоги, 1, с.Урожайне, Сімферопольський р-н, Автономна Республіка Крим, 97535","1305","625","1303","9","672","8","680","","0","672","8","680","28","652","25","60","192","2","5","2","2","0","4","6","1","5","1","1","11","1","2","7","6","9","2","0",""
"010642","10","Автономна Республіка Крим","Чистенський навчально-виховний комплекс ""Школа-гімназія"", фойє
вул.Чапаєва, 54, с.Чистеньке, Сімферопольський р-н, Автономна Республіка Крим, 97570","2472","1215","2454","26","1232","25","1257","","0","1232","25","1257","62","1195","108","188","579","12","19","2","6","11","5","16","3","11","5","9","8","5","5","17","7","14","7","7",""
"010643","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Совєтська, 20, с.Чистеньке, Сімферопольський р-н, Автономна Республіка Крим, 97570","2427","1348","2402","47","1034","45","1079","","0","1034","45","1079","45","1034","70","119","457","8","13","2","9","8","4","13","5","7","9","4","11","8","5","6","5","6","2","7",""
"010644","10","Автономна Республіка Крим","ТОВ ""Пересувна механізована колона-69"", адміністративний корпус, фойє
вул.Чкалова, 65, с.Фонтани, Сімферопольський р-н, Автономна Республіка Крим, 97573","1749","1165","1735","16","571","13","584","","0","571","13","584","28","556","44","17","69","0","6","1","0","6","2","6","4","2","1","3","2","2","2","2","3","3","1","11",""
"010645","10","Автономна Республіка Крим","Новозбур’ївська школа, фойє
вул.Миру, 1А, с.Новозбур’ївка, Сімферопольський р-н, Автономна Республіка Крим, 97570","696","371","689","19","307","18","325","","0","307","18","325","13","312","12","39","167","2","5","1","0","1","2","3","3","1","1","1","6","2","3","8","3","1","0","2",""
"010646","10","Автономна Республіка Крим","будинок культури, фойє
вул.Жовтнева, 3, с.Широке, Сімферопольський р-н, Автономна Республіка Крим, 97510","1584","726","1567","41","819","39","858","","0","819","39","858","34","824","30","127","439","1","10","3","6","8","7","10","3","12","2","4","7","6","0","7","58","3","2","4",""
