"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєва
Наталя
Євгенівна","Анелікова
Євгенія
Андріївна","Грива
Олег
Олександрович","Жаріков
Іван
Петрович","Іванов
Володимир
Кіндратович","Канівець
Наталія
Іванівна","Кулєша
Сергій
Анатолійович","Лебедєв
Ігор
Володимирович","Лесів
Ігор
Михайлович","Луміковський
Микола
Миколайович","Ляшенко
Олександр
Юрійович","Мельник
Володимир
Олександрович","Мельнікова
Тетяна
Богданівна","Муравейник
Юрій
Анатолійович","Нечаєв
Олександр
Ігоревич","Плошихіна
Наталя
Василівна","Постєвая
Тамара
Григорівна","Тарасов
Валерій
Іванович","Толочко
Елла
Петрівна","Дата підписання протоколу"
"010335","9","Автономна Республіка Крим","школа, фойє
вул.Ювілейна, 2, с.Орлівське, Красноперекопський р-н, Автономна Республіка Крим, 96043","1128","523","1115","36","570","35","605","","0","570","35","605","25","580","12","13","4","13","8","2","8","3","88","6","7","37","6","4","300","16","2","2","49","29.10.12"
"010336","9","Автономна Республіка Крим","сільська бібліотека, фойє
вул.Ювілейна, 23, с.Новомиколаївка, Красноперекопський р-н, Автономна Республіка Крим, 96044","400","175","398","21","205","20","225","","0","205","20","225","7","218","2","7","2","5","1","2","4","0","23","0","5","8","3","1","123","4","2","1","25","28.10.12"
"010337","9","Автономна Республіка Крим","центральна контора, зала засідань
вул.Леніна, 37А, с.Почетне, Красноперекопський р-н, Автономна Республіка Крим, 96020","1080","417","1072","47","619","44","663","","0","619","44","663","27","636","8","17","17","10","4","4","6","11","52","3","10","28","4","7","367","4","7","2","75","28.10.12"
"010338","9","Автономна Республіка Крим","будинок культури, фойє
вул.Північно-Кримська, 36, с.П’ятихатка, Красноперекопський р-н, Автономна Республіка Крим, 96021","456","164","450","16","276","16","292","","0","276","16","292","19","273","3","7","9","8","2","4","0","3","18","2","6","12","3","1","161","6","2","5","21","28.10.12"
"010339","9","Автономна Республіка Крим","будинок культури, фойє
вул.Зелена, 5А, с.Совхозне, Красноперекопський р-н, Автономна Республіка Крим, 96022","1252","542","1245","51","664","46","710","","0","664","46","710","29","681","11","17","7","24","9","6","12","3","40","1","3","48","0","2","391","11","7","6","83","29.10.12"
"010340","9","Автономна Республіка Крим","школа, фойє
вул.Шкільна, 24, с.Таврійське, Красноперекопський р-н, Автономна Республіка Крим, 96024","744","327","737","37","387","30","417","","0","387","30","417","24","393","12","23","3","6","5","1","6","3","24","1","4","3","18","1","225","9","5","0","44","29.10.12"
"010341","9","Автономна Республіка Крим","школа, фойє
вул.Шкільна, 5, с.Рисове, Красноперекопський р-н, Автономна Республіка Крим, 96023","496","220","490","23","254","22","276","","0","254","22","276","19","257","9","6","9","2","4","2","5","4","12","0","3","9","4","3","152","3","3","3","24","29.10.12"
"010342","9","Автономна Республіка Крим","будинок культури, танцювальна зала, 2-й поверх
вул.Кримська, 24, с.Філатівка, Красноперекопський р-н, Автономна Республіка Крим, 96017","688","346","685","25","317","25","342","","0","317","25","342","19","323","7","15","6","1","2","2","4","1","16","1","6","15","1","4","195","3","5","1","38","29.10.12"
"010425","9","Автономна Республіка Крим","районний будинок культури, фойє
вул.Радянська, 9, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","1176","544","1162","28","609","23","632","","0","609","23","632","30","602","8","12","8","0","1","6","1","6","41","51","1","30","8","0","329","1","23","1","75","29.10.12"
"010426","9","Автономна Республіка Крим","ЗАТ ""Агропромсервіс"", приміщення для сборів, 1-й поверх
вул.Жовтнева, 118, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","948","495","937","18","438","15","453","","0","438","15","453","15","438","5","7","3","1","4","1","2","5","49","36","6","36","3","5","217","0","13","0","45","29.10.12"
