"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безрученко
Володимир
Олександрович","Варченко
Іван
Григорович","Кацуба
Володимир
Михайлович","Коробка
Юрій
Олексійович","Третьяк
Вікторія
Валеріївна","Дата підписання протоколу"
"631038","175","Харківська область","школа №5, вестибюль нового корпусу
вул.Полтавський шлях, 48, м.Люботин, Харківська обл., 62434","1216","671","1200","13","537","8","545","","0","537","8","545","34","511","87","139","208","47","30","29.10.12"
"631039","175","Харківська область","школа №6, кабінет англійської мови, 2 поверх
вул.Московська, 48/35, м.Люботин, Харківська обл., 62433","1904","1060","1875","25","823","21","844","","0","823","21","844","51","793","108","198","356","97","34","29.10.12"
"631040","175","Харківська область","амбулаторія сімейної медицини, актова зала
вул.Нове життя, 28, м.Люботин, Харківська обл., 62435","936","544","924","14","382","10","392","","0","382","10","392","32","360","49","80","171","42","18","29.10.12"
"631041","175","Харківська область","Дитячий ясла-садок № 2, актова зала, 1-й поверх
вул.Шмідта, 47, м.Люботин, Харківська обл., 62433","1632","862","1607","26","753","17","770","","0","753","17","770","47","723","74","151","368","88","42","29.10.12"
"631042","175","Харківська область","школа №4, каб.12-13, 2 поверх
вул.Шкільна, 54, м.Люботин, Харківська обл., 62433","872","454","871","22","401","17","418","","0","401","17","418","20","398","36","117","188","46","11","29.10.12"
"631043","175","Харківська область","адмінбудівля виконкому, обрядова зала ДРАЦСу, 1-й поверх
вул.Радянська, 26А, м.Люботин, Харківська обл., 62433","1584","801","1548","39","755","28","783","","0","755","28","783","25","758","98","206","372","57","25","29.10.12"
"631044","175","Харківська область","школа №2, вестибюль, 1-й поверх
вул.Леніна, 50, м.Люботин, Харківська обл., 62433","1312","687","1291","25","604","21","625","","0","604","21","625","27","598","66","201","248","58","25","29.10.12"
"631045","175","Харківська область","гуртожиток Харківського центру професійної освіти, вестибюль, 1-й поверх
вул.Некрасова, 9, м.Люботин, Харківська обл., 62433","1280","690","1253","37","565","25","590","","0","565","25","590","35","555","65","121","276","70","23","28.10.12"
"631046","175","Харківська область","кафе ""Зорі"", банкетний зал
вул.Шевченка, 94, м.Люботин, Харківська обл., 62433","1416","693","1402","30","694","29","723","","0","694","29","723","35","688","86","192","317","78","15","29.10.12"
"631047","175","Харківська область","школа №3, спортзал, 1-й поверх
вул.Миру, 35, м.Люботин, Харківська обл., 62433","1232","718","1219","25","491","23","514","","0","491","23","514","16","498","60","136","226","60","16","29.10.12"
"631048","175","Харківська область","клуб с-ща Караван, вестибюль
вул.Заводська, 2, м.Люботин, с-ще Караван, Харківська обл., 62433","808","408","793","15","390","10","400","","0","390","10","400","28","372","48","92","189","29","14","29.10.12"
"631049","175","Харківська область","КМС-213, актова зала, 3-й поверх
вул.Раднаркомівська, 1, м.Люботин, с-ще Коваленки, Харківська обл., 62433","1336","810","1331","26","506","20","526","","0","506","20","526","36","490","53","94","264","55","24","29.10.12"
"631050","175","Харківська область","гімназія №1, їдальня, 1-й поверх
вул.Шевченка, 19, м.Люботин, Харківська обл., 62433","1504","790","1496","22","697","17","714","","0","697","17","714","37","677","97","155","328","71","26","29.10.12"
"631051","175","Харківська область","гімназія №1, вестибюль початкової школи, 1-й поверх
вул.Шевченка, 19, м.Люботин, Харківська обл., 62433","944","491","942","24","429","24","453","","0","429","24","453","28","425","56","126","192","34","17","29.10.12"
"631052","175","Харківська область","Професійний ліцей залізничного транспорту, вестибюль, 1-й поверх
вул.Шевченка, 130, м.Люботин, Харквська обл., 62433","1272","651","1251","25","601","20","621","","0","601","20","621","25","596","61","224","215","64","32","29.10.12"
"631053","175","Харківська область","Виробниче управління комунального господарства, кімната засідань, 2-й поверх
вул.Радянська, 151, м.Люботин, Харківська обл., 62433","936","529","925","19","389","18","407","","0","389","18","407","15","392","62","103","168","44","15","29.10.12"
"631054","175","Харківська область","ПП Куц В.В., зала для засідань, 1-й поверх
вул.Шевченка, 68/1, м.Люботин, Харківська обл., 62433","976","482","971","26","474","20","494","","0","474","20","494","14","480","56","92","246","68","18","29.10.12"
"631055","175","Харківська область","Адміністративна будівля ЗАТ ""Кераміка"", бухгалтерія
вул.Челюскіна, 130, м.Люботин, Харківська обл., 62433","808","461","797","18","334","13","347","","0","334","13","347","19","328","53","70","159","32","14","29.10.12"
