"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безрученко
Володимир
Олександрович","Варченко
Іван
Григорович","Кацуба
Володимир
Михайлович","Коробка
Юрій
Олексійович","Третьяк
Вікторія
Валеріївна","Дата підписання протоколу"
"630338","175","Харківська область","ДП ""Клінічний санаторій"", курорт ""Березівські мінеральні води""
санаторій ""Бермінводи"", с-ще Березівське, Дергачівський р-н, Харківська обл., 62363","1048","457","1037","19","575","16","591","","0","575","16","591","25","566","58","102","322","59","25","29.10.12"
"630339","175","Харківська область","прудянський клуб, зал
вул.1 П’ятирічки, 2, смт Прудянка, Дергачівський р-н, Харківська обл., 62320","1664","689","1648","79","896","79","975","","0","896","79","975","16","959","86","84","667","103","19","29.10.12"
"630340","175","Харківська область","школа, хол
вул.Шкільна, 6, с.Цупівка, Дергачівський р-н, Харківська обл., 62314","808","332","793","41","439","37","476","","0","439","37","476","17","459","47","48","319","35","10","29.10.12"
"630341","175","Харківська область","селищний клуб, зал
вул.Радянська, 18, смт Слатине, Дергачівський р-н, Харківська обл., 62321","1968","1083","1928","87","801","84","885","","0","801","84","885","14","871","101","75","598","70","27","29.10.12"
"630342","175","Харківська область","навчально-виховний комплекс, спортзал
вул.Радянська, 17, смт Слатине, Дергачівський р-н, Харківська обл., 62321","1760","863","1740","65","832","65","897","","0","832","65","897","19","878","89","125","565","74","25","29.10.12"
"630343","175","Харківська область","навчально-виховний комплекс, фойє
вул.Радянська, 17, смт Слатине, Дергачівський р-н, Харківська обл., 62321","1904","1000","1884","102","820","84","904","","0","820","84","904","15","889","82","105","600","76","26","29.10.12"
"630344","175","Харківська область","магазин-кафе, торгівельний зал
пров.Радянський, 1, с.Сіряки, Дергачівський р-н, Харківська обл., 62371","328","152","326","12","169","7","176","","0","169","7","176","7","169","21","52","74","16","6","28.10.12"
"630345","175","Харківська область","навчально-виховний комплекс, вестибюль
вул.Дзержинського, 1, с.Подвірки, Дергачівський р-н, Харківська обл., 62371","2088","1098","2068","31","970","20","990","","0","970","20","990","33","957","121","234","470","94","38","29.10.12"
"630346","175","Харківська область","бібліотека, читальний зал
вул.Маяковського, 30, с.Куряжанка, Дергачівський р-н, Харківська обл., 62371","192","76","187","7","110","6","116","","0","110","6","116","6","110","8","14","78","8","2","29.10.12"
"630347","175","Харківська область","солоницівський колегіум, спортзал №2
вул.Леніна, 4, смт Солоницівка, Дергачівський р-н, Харківська обл., 62370","2320","1136","2293","13","1175","9","1184","","0","1175","9","1184","51","1133","107","402","464","116","44","29.10.12"
"630348","175","Харківська область","житловий будинок, фойє
вул.Пушкіна, 15, смт Солоницівка, Дергачівський р-н, Харківська обл., 62370","2352","1215","2324","9","1130","7","1137","","0","1130","7","1137","41","1096","114","312","536","102","32","29.10.12"
"630349","175","Харківська область","гімназія №3, фойє
вул.Енергетична, 4, смт Солоницівка, Дергачівський р-н, Харківська обл., 62370","2208","1084","2196","11","1113","11","1124","","0","1113","11","1124","39","1085","123","286","551","91","34","29.10.12"
"630350","175","Харківська область","дитячий театр, зал
вул.Леніна, 80А, смт Солоницівка, Дергачівський р-н, Харківська обл., 62370","1840","966","1814","16","859","15","874","","0","859","15","874","32","842","120","213","402","85","22","29.10.12"
"630351","175","Харківська область","школа №2, фойє
вул.Щорса, 1, смт Солоницівка, Дергачівський р-н, Харківська обл., 62370","1544","832","1521","14","699","13","712","","0","699","13","712","39","673","87","105","413","53","15","29.10.12"
"630352","175","Харківська область","клуб, зал
вул.Чкалова, 4, смт Солоницівка, Дергачівський р-н, Харківська обл., 62370","1576","844","1567","21","718","14","732","","0","718","14","732","42","690","72","151","365","68","34","29.10.12"
"630353","175","Харківська область","навчально-виховний комплекс, спортзал
вул.Леніна, 2, с.Безруки, Дергачівський р-н, Харківська обл., 62332","2216","1024","2201","73","1136","56","1192","","0","1136","56","1192","43","1149","98","172","720","122","37","29.10.12"
"630354","175","Харківська область","школа, коридор великий
вул.Діброва, 6, с.Польова, Дергачівський р-н, Харківська обл., 62350","304","113","301","27","168","23","191","","0","168","23","191","3","188","7","11","159","9","2","29.10.12"
