"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Величко
Катерина
Олександрівна","Галілей
Анатолій
Степанович","Завротська
Тетяна
Вікторівна","Колесников
Денис
Вікторович","Макаров
Владислав
Леонідович","Морозенко
Євгеній
Вадимович","Осташ
Євген
Дмитрович","Петров
Вадим
Григорович","Средняк
Валерій
Якович","Табурянський
Леопольд
Іванович","Терешко
Руслан
Ігоревич","Тигов
Олександр
Олександрович","Чукмасов
Сергій
Олександрович","Шендрик
Анатолій
Миколайович","Шинкаренко
Ігор
Петрович","Шинкаренко
Наталія
Володимирівна","Дата підписання протоколу"
"121385","28","Дніпропетровська область","школа №84, мала зала, 1-й поверх
вул.Комунарівська, 264, м.Дніпропетровськ, 49072","2328","1546","2297","32","760","22","782","","0","760","22","782","48","734","9","143","15","34","9","227","3","7","2","46","1","17","42","5","85","89","28.10.12"
"121386","28","Дніпропетровська область","школа №84, коридор, 2-й поверх
вул.Комунарівська, 264, м.Дніпропетровськ, 49072","2368","1488","2325","23","865","15","880","","0","865","15","880","49","831","18","102","14","34","5","347","2","4","2","48","10","19","40","3","101","82","28.10.12"
"121387","28","Дніпропетровська область","палац творчості дітей та юнацтва, хол, 2-й поверх
вул.Комунарівська, 17А, м.Дніпропетровськ, 49128","844","475","836","13","358","11","369","","0","358","11","369","23","346","5","67","5","12","2","110","1","2","0","19","4","7","23","2","45","42","29.10.12"
"121388","28","Дніпропетровська область","палац творчості дітей та юнацтва, к.1, 1-й поверх
вул.Комунарівська, 17А, м.Дніпропетровськ, 49128","2336","1219","2315","14","1110","7","1117","","0","1110","7","1117","46","1071","22","226","13","41","8","274","8","8","9","68","9","28","97","7","136","117","29.10.12"
"121389","28","Дніпропетровська область","школа №91, фойє, 2-й поверх
вул.Будьонного, 52, м.Дніпропетровськ, 49102","2400","1423","2345","19","963","14","977","","0","963","14","977","55","922","15","108","16","48","7","324","5","5","6","35","2","34","67","7","126","117","01.11.12"
"121390","28","Дніпропетровська область","школа №91, фойє, 1-й поверх
вул.Будьонного, 52, м.Дніпропетровськ, 49102","2316","1225","2286","17","1078","13","1091","","0","1077","13","1090","50","1040","12","160","18","58","8","400","3","4","13","31","8","23","78","9","121","94","01.11.12"
"121391","28","Дніпропетровська область","школа №93, вестибюль, 1-й поверх
вул.Будьонного, 54, м.Дніпропетровськ, 49102","1852","1027","1811","12","815","10","825","","0","815","10","825","55","770","12","102","9","37","5","326","1","6","6","34","7","23","44","5","87","66","29.10.12"
"121392","28","Дніпропетровська область","школа №93, вестибюль, 1-й поверх
вул.Будьонного, 54, м.Дніпропетровськ, 49102","1860","1092","1835","32","743","25","768","","0","743","25","768","30","738","16","102","9","33","7","263","4","9","0","40","3","24","61","8","89","70","29.10.12"
"121393","28","Дніпропетровська область","міський дитячо-молодіжний центр, зала, 1-й поверх
вул.Будьонного, 17, м.Дніпропетровськ, 49102","2404","1208","2362","17","1183","13","1196","","0","1183","13","1196","77","1119","29","122","26","54","3","388","14","5","7","35","7","51","85","11","129","153","29.10.12"
"121394","28","Дніпропетровська область","Дніпропетровський індустріальний коледж, фойє, 1-й поверх
просп.Калініна, 55, корп.1, м.Дніпропетровськ, 49064","2384","1477","2335","20","896","11","907","","0","896","11","907","45","862","19","112","10","56","2","314","4","8","9","31","4","28","55","9","98","103","28.10.12"
"121395","28","Дніпропетровська область","Дніпропетровський індустріальний коледж, фойє, 1-й поверх
просп.Калініна, 55, корп.2, м.Дніпропетровськ, 49064","1776","1155","1764","8","616","5","621","","0","616","5","621","31","590","16","86","8","59","4","186","4","2","8","15","3","25","35","5","69","65","29.10.12"
"121396","28","Дніпропетровська область","Дніпропетровський професійний будівельний ліцей, коридор, 1-й поверх
вул.Яшина, 4, м.Дніпропетровськ, 49064","1360","699","1353","9","652","9","661","","0","651","9","660","38","622","9","106","10","25","5","183","3","9","4","25","8","32","41","3","76","83","29.10.12"
"121397","28","Дніпропетровська область","гуртожиток ""ДЗМК імені Бабушкіна"", актова зала, 1-й поверх
вул.Караваєва, 3, м.Дніпропетровськ, 49017","1120","607","1096","14","502","11","513","","0","502","11","513","32","481","12","57","8","23","4","173","5","4","3","13","9","16","43","3","63","45","28.10.12"
"121398","28","Дніпропетровська область","будинок прокатників, червоний куток, 2-й поверх
вул.Караваєва, 13, м.Дніпропетровськ, 49017","1832","1037","1815","21","779","16","795","","0","779","16","795","40","755","15","94","9","45","5","259","7","5","6","19","4","26","68","7","97","89","28.10.12"
"121399","28","Дніпропетровська область","навчально-виховний комплекс №59, вестибюль, 1-й поверх
вул.Новоорловська, 1А, м.Дніпропетровськ, 49017","2008","964","1997","27","1029","15","1044","","0","0","0","1044","56","988","22","131","10","58","10","327","3","7","4","34","5","34","82","9","139","113","29.10.12"
"121400","28","Дніпропетровська область","школа №5, коридор, 1-й поверх
вул.Караваєва, 17А, м.Дніпропетровськ, 49017","2196","1202","2170","21","979","15","994","","0","979","15","994","61","933","15","104","12","64","7","285","7","6","17","20","7","27","69","9","144","140","29.10.12"
"121401","28","Дніпропетровська область","школа №74, коридор, 2-й поверх
вул.Караваєва, 60, м.Дніпропетровськ, 49017","2076","1066","2045","28","988","22","1010","","0","988","22","1010","45","965","24","106","21","45","5","367","17","11","7","16","7","28","62","7","126","116","29.10.12"
"121402","28","Дніпропетровська область","школа №74, спортивна зала, 1-й поверх
вул.Караваєва, 60, м.Дніпропетровськ, 49017","1592","1011","1586","10","573","8","581","","0","573","8","581","35","546","15","56","8","33","11","185","3","10","5","17","10","22","32","3","61","75","28.10.12"
"121403","28","Дніпропетровська область","школа №85, коридор, 1-й поверх
вул.Західна, 1, м.Дніпропетровськ, 49035","1232","705","1213","6","523","4","527","","0","523","4","527","27","500","23","55","12","24","7","160","2","3","2","25","7","15","39","7","53","66","29.10.12"
"121404","28","Дніпропетровська область","школа №85, коридор, 1-й поверх
вул.Західна, 1, м.Дніпропетровськ, 49035","1956","976","1931","13","971","9","980","","0","971","9","980","47","933","16","166","16","45","6","335","6","7","3","46","7","26","51","3","110","90","29.10.12"
"121405","28","Дніпропетровська область","школа №50, їдальня, 2-й поверх
просп.Металургів, 43, м.Дніпропетровськ, 49035","1576","845","1563","11","722","9","731","","0","722","9","731","36","695","14","70","13","31","5","282","6","6","6","22","2","24","38","3","94","79","29.10.12"
"121406","28","Дніпропетровська область","школа №50, хол, 1-й поверх
просп.Металургів, 43, м.Дніпропетровськ, 49035","1660","854","1623","11","796","10","806","","0","796","10","806","52","754","14","81","7","39","4","311","4","4","11","29","3","17","42","6","105","77","29.10.12"
"121407","28","Дніпропетровська область","навчально-виховний комплекс №4, коридор, 2-й поверх
вул.80-річчя Дніпропетровщини, 30А, м.Дніпропетровськ, 49035","1716","907","1697","4","805","4","809","","0","805","4","809","47","762","22","109","12","22","8","245","7","5","5","24","6","23","33","7","121","113","29.10.12"
"121408","28","Дніпропетровська область","навчально-виховний комплекс №4, коридор, 3-й поверх
вул.80-річчя Дніпропетровщини, 30А, м.Дніпропетровськ, 49035","1908","1067","1808","6","838","3","841","","0","838","3","841","64","777","47","69","15","51","12","254","7","22","5","35","12","27","31","13","97","80","29.10.12"
"121409","28","Дніпропетровська область","Дніпропетровський індустріально-педагогічний технікум, вестибюль, 2-й поверх
вул.Ногинська, 51, м.Дніпропетровськ, 49017","1416","848","1404","12","561","7","568","","0","561","7","568","25","543","12","43","12","34","6","166","3","3","7","34","4","28","35","1","84","71","29.10.12"
"121410","28","Дніпропетровська область","Дніпропетровський індустріально-педагогічний технікум, вестибюль, 1-й поверх
вул.Ногинська, 51, м.Дніпропетровськ, 49017","2236","1444","2196","20","776","16","792","","0","776","16","792","55","737","14","89","16","52","7","257","5","2","4","22","9","30","45","11","89","85","29.10.12"
"121411","28","Дніпропетровська область","гуртожиток Дніпропетровського технолого-економічного коледжу, хол, 1-й поверх
вул.Авіаційна, 6, м.Дніпропетровськ, 49017","1288","762","1286","9","519","7","526","","0","519","7","526","34","492","11","42","12","22","5","163","2","10","3","19","5","32","27","4","73","62","29.10.12"
"121412","28","Дніпропетровська область","вечірня школа №11, коридор, кабінет української мови та літератури, 1-й поверх
просп.Свободи, 147, м.Дніпропетровськ, 49068","1556","930","1537","19","612","14","626","","0","612","14","626","43","583","7","54","4","31","4","221","1","2","5","44","1","9","59","4","74","63","29.10.12"
"121413","28","Дніпропетровська область","гуртожиток ПАТ ""Дніпропетровський трубний завод"", червоний куток, 1-й поверх
просп.Свободи, 89А, м.Дніпропетровськ, 49068","1876","1190","1851","5","685","1","686","","0","685","1","686","36","650","7","70","7","24","2","246","5","2","5","45","3","14","95","6","61","58","29.10.12"
"121414","28","Дніпропетровська область","школа №72, фойє перед актовою залою, 2-й поверх
вул.Жовтенят, 42А, м.Дніпропетровськ, 49019","2224","1393","2200","21","815","16","831","","0","815","16","831","38","793","22","99","13","34","5","305","1","5","2","57","3","22","68","6","85","66","29.10.12"
