"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасим’юк
Ольга
Володимирівна","Пресман
Олександр
Семенович","Тюхтій
Микола
Петрович","Царьков
Євген
Ігорович","Дата підписання протоколу"
"510324","139","Одеська область","будинок культури, фойє
пров.Сільрадівський, 5, с.Великоплоске, Великомихайлівський р-н, Одеська обл., 67140","2464","1138","2431","222","1125","201","1326","","0","1125","201","1326","58","1268","58","913","31","266","29.10.12"
"510325","139","Одеська область","будинок культури, глядацька зала
вул.Леніна, 61, с.Гребеники, Великомихайлівський р-н, Одеська обл., 67144","864","390","851","65","409","65","474","","0","409","65","474","10","464","32","334","7","91","28.10.12"
"510326","139","Одеська область","будинок культури, танцювальна зала
вул.Кірова, 12, с.Кірове, Великомихайлівський р-н, Одеська обл., 67123","720","411","714","30","282","27","309","","0","282","27","309","25","284","71","142","12","59","28.10.12"
"510327","139","Одеська область","будинок культури, глядацька зала
вул.Шкільна, 11, с.Комарівка, Великомихайлівський р-н, Одеська обл., 67111","160","83","157","14","63","14","77","","0","63","14","77","2","75","13","55","2","5","29.10.12"
"510328","139","Одеська область","сільська рада, каб.3
вул.Леніна, 7, с.Мигаї, Великомихайлівський р-н, Одеська обл., 67151","592","263","587","27","308","21","329","","0","308","21","329","26","303","56","170","14","63","28.10.12"
"510329","139","Одеська область","будинок культури, глядацька зала
вул.Лермонтова, 1, с.Новоборисівка, Великомихайлівський р-н, Одеська обл., 67121","1952","1172","1935","26","756","24","780","","0","756","22","778","37","741","235","340","52","114","29.10.12"
"510330","139","Одеська область","сільська рада, актова зала
вул.Леніна, 21, с.Новоолександрівка, Великомихайлівський р-н, Одеська обл., 67112","352","147","347","10","196","9","205","","0","196","9","205","13","192","39","108","12","33","28.10.12"
"510331","139","Одеська область","будинок культури, глядацька зала
вул.Миру, 5А, с.Новопетрівка, Великомихайлівський р-н, Одеська обл., 67103","1504","747","1493","24","736","21","757","","0","736","21","757","30","727","102","458","17","150","28.10.12"
"510332","139","Одеська область","сільська рада, каб.1
вул.Леніна, сільська рада, с.Новосавицьке, Великомихайлівський р-н, Одеська обл., 67143","336","76","333","35","225","35","260","","0","225","35","260","12","248","10","207","8","23","28.10.12"
"510333","139","Одеська область","будинок культури, глядацька зала
вул.Леніна, 4А, с.Новоселівка, Великомихайлівський р-н, Одеська обл., 67150","608","306","598","36","266","36","302","","0","266","36","302","17","285","63","167","8","47","28.10.12"
"510334","139","Одеська область","школа, спортивна зала
вул.Шевченка, 17, с.Першотравневе, Великомихайлівський р-н, Одеська обл., 67154","640","275","628","73","300","65","365","","0","300","65","365","24","341","58","236","12","35","29.10.12"
"510335","139","Одеська область","будинок культури, глядацька зала
вул.Фрунзе, будинок культури, с.Петрівське, Великомихайлівський р-н, Одеська обл., 67153","512","174","506","41","297","41","338","","0","297","41","338","15","323","45","212","11","55","29.10.12"
"510336","139","Одеська область","будинок культури, глядацька зала
вул. Леніна, 5, с.Полезне, Великомихайлівський р-н, Одеська обл., 67120","824","300","805","64","461","63","524","","0","461","63","524","25","499","64","338","21","76","29.10.12"
"510337","139","Одеська область","школа, кл.6, їдальня, 1-й поверх
вул.Молодіжна, 59, с.Слов’яносербка, Великомихайлівський р-н, Одеська обл., 67142","576","279","567","27","277","20","297","","0","277","20","297","15","282","38","150","6","88","28.10.12"
"510338","139","Одеська область","школа, спортивна зала
вул.Леніна, 53, с.Соше-Острівське, Великомихайлівський р-н, Одеська обл., 67110","432","192","420","10","230","10","240","","0","230","10","240","21","219","29","154","7","29","29.10.12"
"510339","139","Одеська область","будинок культури, глядацька зала
вул.Центральна, 36, с.Стоянове, Великомихайлівський р-н, Одеська обл., 67113","288","114","289","11","165","9","174","","0","165","9","174","13","161","22","78","7","54","28.10.12"
"510340","139","Одеська область","школа, спортивна зала
вул.Шкільна, 21, с.Тростянець, Великомихайлівський р-н, Одеська обл., 67141","496","190","480","41","270","36","306","","0","270","36","306","13","293","52","201","2","38","29.10.12"
"510341","139","Одеська область","школа, спортивна зала
вул.Пушкінська, 2, смт Цебрикове, Великомихайлівський р-н, Одеська обл., 67130","2384","1342","2368","73","977","65","1042","","0","977","65","1042","36","1006","278","534","27","167","28.10.12"
"510342","139","Одеська область","школа, спортивна зала
вул.Куйбишева, 69, с.Цибулівка, Великомихайлівський р-н, Одеська обл., 67132","656","284","651","49","328","44","372","","0","328","44","372","13","359","108","190","10","51","28.10.12"
"510343","139","Одеська область","школа, фойє
вул.Центральна, 54, с.Чапаєве, Великомихайлівський р-н, Одеська обл., 67133","464","119","460","72","275","70","345","","0","275","70","345","13","332","57","237","5","33","28.10.12"
"510344","139","Одеська область","сільська рада, каб.1, кабінет голови
вул.Грушевського, 5, с.Юрківка, Великомихайлівський р-н, Одеська обл., 67144","72","13","86","12","51","8","59","","0","51","8","59","4","55","5","38","2","10","28.10.12"
"510499","139","Одеська область","сільський клуб, фойє
вул.Шевченка, 69Б, с.Кубанка, Комінтернівський р-н, Одеська обл., 67583","448","149","446","30","269","30","299","","0","269","30","299","8","291","23","234","9","25","29.10.12"
"510500","139","Одеська область","Переможненська школа, спортивна зала
вул.Центральна, 6А, с.Переможне, Комінтернівський р-н, Одеська обл., 67587","312","109","303","8","195","8","203","","0","195","8","203","7","196","46","138","1","11","04.11.12"
"510501","139","Одеська область","сільський клуб, фойє
вул.Незалежності, 67, с.Красносілка, Комінтернівський р-н, Одеська обл., 67560","2392","1027","2314","25","1345","20","1365","","0","1345","20","1365","83","1282","330","710","39","203","29.10.12"
"510502","139","Одеська область","сільська рада, фойє
вул.Набережна, 87А, с.Красносілка, Комінтернівський р-н, Одеська обл., 67560","448","185","455","7","256","7","263","","0","256","7","263","17","246","58","149","5","34","29.10.12"
"510503","139","Одеська область","Красносільська школа, спортивна зала
вул.Шкільна, 1А, с.Красносілка, Комінтернівський р-н, Одеська обл., 67560","1128","479","1114","17","634","15","649","","0","634","15","649","30","619","115","420","16","68","28.10.12"
"510504","139","Одеська область","Адмінбудівля Одеської дистанції захисних лісонасаджень, фойє
вул.Молодіжна, 13а, с.Іллічівка, Комінтернівський р-н, Одеська обл., 67582","1160","544","1155","36","581","35","616","","0","581","35","616","25","591","162","325","24","80","05.11.12"
"510505","139","Одеська область","Корсунська школа, спортивна зала
Перша Лиманна, 1а, с.Корсунці, Комінтернівський р-н, Одеська обл., 67583","1472","701","1466","21","753","18","771","","0","753","18","771","43","728","208","378","27","115","28.10.12"
"510506","139","Одеська область","Олександрівська школа, спортивна зала
вул.Одеська, 2, с.Олександрівка, Комінтернівський р-н, Одеська обл., 67513","2480","911","2467","65","1513","56","1569","","0","1513","56","1569","35","1534","337","999","61","137","29.10.12"
"510507","139","Одеська область","Світлівська школа, спортивна зала
вул.Комунальна, 35, с.Світле, Комінтернівський р-н, Одеська обл., 67513","568","191","574","17","360","17","377","","0","360","17","377","22","355","65","249","13","28","29.10.12"
"510508","139","Одеська область","селищний клуб, фойє
вул.Театральна, 4, смт Нові Білярі, Комінтернівський р-н, Одеська обл., 67550","816","255","812","32","536","25","561","","0","0","0","561","17","544","97","396","6","45","30.10.12"
"510509","139","Одеська область","будинок культури, актова зала
вул.Ветеранів, 24, с.Крижанівка, Комінтернівський р-н, Одеська обл., 67562","1624","616","1613","55","958","50","1008","","0","958","50","1008","32","976","310","496","38","132","29.10.12"
"510510","139","Одеська область","Крижанівська школа, спортивна зала
пров.Шкільний, 1, с.Крижанівка, Комінтернівський р-н, Одеська обл., 67562","1312","514","1307","37","764","34","798","","0","764","34","798","40","758","230","408","24","96","29.10.12"
"510511","139","Одеська область","ВАТ ""ОДЕСАОБЛЕНЕРГО"", фойє
вул.Касьяненко, 12, с.Ліски, Комінтернівський р-н, Одеська обл., 67584","568","235","556","9","326","7","333","","0","326","7","333","16","317","110","153","12","42","29.10.12"
"510512","139","Одеська область","сільська рада, фойє
вул.Степна, 4, с.Фонтанка, Комінтернівський р-н, Одеська обл., 67571","2272","1233","2191","10","1030","9","1039","","0","1030","9","1039","46","993","429","391","145","28","29.10.12"
"510513","139","Одеська область","Фонтанська сільська амбулаторія
вул.Центральна, 41а, с.Фонтанка, Комінтернівський район, Одеська область, 67571","1392","699","1372","5","688","5","693","","0","688","5","693","28","665","255","294","20","96","02.11.12"
"510514","139","Одеська область","будинок культури, актова зала
вул.Центральна, 46, с.Фонтанка, Комінтернівський р-н, Одеська обл., 67571","2320","1247","2266","15","1059","14","1073","","0","1059","14","1073","60","1013","358","452","44","159","29.10.12"
"510515","139","Одеська область","база відпочинку ""Дорожник"", фойє
вул.Берегова, 2, с.Вапнярка, Комінтернівський р-н, Одеська обл., 67585","688","202","680","6","483","3","486","","0","483","3","486","18","468","116","281","8","63","28.10.12"
"510516","139","Одеська область","сільський клуб, актова зала
вул.Центральна, 6, с.Нова Дофінівка, Комінтернівський р-н, Одеська обл., 67572","1072","346","1064","15","711","15","726","","0","711","15","726","31","695","189","398","23","85","29.10.12"
"510517","139","Одеська область","будинок культури, фойє
вул.Гвардійська, 90, смт Чорноморське, Комінтернівський р-н, Одеська обл., 67570","2272","918","2252","10","1347","7","1354","","0","1347","7","1354","64","1290","315","659","26","290","29.10.12"
"510518","139","Одеська область","Чорноморська школа, фойє
чорноморська школа, смт Чорноморське, Комінтернівський р-н, Одеська обл., 67570","2088","787","1994","1","1300","1","1301","","0","1300","1","1301","61","1240","357","594","65","224","04.11.12"
"510519","139","Одеська область","розважальний центр ""Ковчег"", фойє
вул.Сонячна, 5, смт Чорноморське, Комінтернівський р-н, Одеська обл., 67570","880","422","865","0","458","0","458","","0","458","0","458","24","434","120","213","12","89","29.10.12"
"510520","139","Одеська область","сільський клуб, фойє
вул.Олімпійська, 5, с.Гвардійське, Комінтернівський р-н, Одеська обл., 67554","688","237","686","14","437","14","451","","0","437","14","451","20","431","109","263","8","51","29.10.12"
"510523","139","Одеська область","КУ ООПЛ №2, фойє
пл.Центральна, 1, с.Олександрівка, Комінтернівський р-н, Одеська обл., 67513","40","15","28","0","25","0","25","","0","25","0","25","7","18","6","6","2","4","02.11.12"
"510727","139","Одеська область","школа №2, фойє, 1-й поверх
вул.Щербакова, 50, м.Роздільна, Роздільнянський р-н, Одеська обл., 67400","2480","1701","2459","7","775","4","779","","0","775","4","779","27","752","251","342","22","137","28.10.12"
"510728","139","Одеська область","клуб МК-61, актова зала
вул.Генерала Плієва, 2, м.Роздільна, Роздільнянський р-н, Одеська обл., 67400","2496","1870","2472","5","622","4","626","","0","0","0","626","38","588","210","238","19","121","05.11.12"
"510729","139","Одеська область","ВАТ""Гідропрес"", актова зала, 2-й поверх
вул.40 років Перемоги, 9, м.Роздільна, Роздільнянський р-н, Одеська обл., 67400","2336","1464","2308","20","855","17","872","","0","855","17","872","46","826","312","276","19","219","29.10.12"
"510730","139","Одеська область","школа №4, спортивна зала
вул.Карла Маркса, 15, м.Роздільна, Роздільнянський р-н, Одеська обл., 67400","2480","1393","2482","36","1055","32","1087","","0","1055","32","1087","39","1048","316","458","19","255","29.10.12"
