"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасим’юк
Ольга
Володимирівна","Пресман
Олександр
Семенович","Тюхтій
Микола
Петрович","Царьков
Євген
Ігорович","Дата підписання протоколу"
"510900","139","Одеська область","школа, фойє
школа, с.Карабанове, Фрунзівський р-н, Одеська обл., 66711","616","84","598","50","482","50","532","","0","482","50","532","9","523","22","448","6","47","28.10.12"
"510901","139","Одеська область","будинок культури, фойє
будинок культури, с.Леніне, Фрунзівський р-н, Одеська обл., 66743","624","198","616","37","389","37","426","","0","389","37","426","15","411","68","299","5","39","28.10.12"
"510902","139","Одеська область","школа, фойє
школа, с.Майорське, Фрунзівський р-н, Одеська обл., 66705","400","112","396","25","263","25","288","","0","263","25","288","14","274","41","212","5","16","28.10.12"
"510903","139","Одеська область","школа, фойє
школа, с.Оленівка, Фрунзівський р-н, Одеська обл., 66710","448","89","444","27","332","27","359","","0","332","27","359","6","353","17","305","4","27","28.10.12"
"510904","139","Одеська область","школа, фойє
школа, с.Новозаріцьке, Фрунзівський р-н, Одеська обл., 66721","376","70","372","25","283","23","306","","0","283","23","306","12","294","32","252","2","8","29.10.12"
"510905","139","Одеська область","школа, фойє
школа, с.Новопавлівка, Фрунзівський р-н, Одеська обл., 66703","304","115","287","15","176","13","189","","0","176","13","189","10","179","15","142","3","19","28.10.12"
"510906","139","Одеська область","будинок культури, фойє
будинок культури, с.Онилове, Фрунзівський р-н, Одеська обл., 66722","368","154","336","24","192","22","214","","0","192","22","214","9","205","86","93","4","22","28.10.12"
"510907","139","Одеська область","будинок культури, фойє
будинок культури, с.Павлівка, Фрунзівський р-н, Одеська обл., 66733","768","251","770","38","484","33","517","","0","484","33","517","32","485","94","335","12","44","29.10.12"
"510908","139","Одеська область","будинок культури, фойє
будинок культури, с.Первомайське, Фрунзівський р-н, Одеська обл., 66710","184","48","182","10","126","10","136","","0","126","10","136","11","125","24","95","1","5","28.10.12"
"510909","139","Одеська область","школа, фойє
школа, с.Перехрестове, Фрунзівський р-н, Одеська обл., 66720","1200","506","1195","74","621","73","694","","0","621","73","694","8","686","44","560","11","71","28.10.12"
"510910","139","Одеська область","сільська рада, зала для засідань
сільська рада, с.Росіянівка, Фрунзівський р-н, Одеська обл., 66706","496","160","498","30","307","29","336","","0","0","0","336","9","327","30","255","7","35","30.10.12"
"510911","139","Одеська область","будинок культури, фойє
вул.Леніна, будинок культури, смт Фрунзівка, Фрунзівський р-н, Одеська обл., 66700","2488","991","2454","53","1445","52","1497","","0","1445","52","1497","37","1460","331","930","24","175","29.10.12"
"510912","139","Одеська область","школа, фойє
вул.Леніна, 100, смт Фрунзівка, Фрунзівський р-н, Одеська обл., 66700","1784","848","1780","62","876","60","936","","0","876","60","936","34","902","195","539","7","161","29.10.12"
"511064","139","Одеська область","гуртожиток МТП ""Южний"", актова зала
вул.Будівельників, 7, м.Южне, Одеська обл., 65481","2208","996","2203","11","1207","5","1212","","0","1207","5","1212","53","1159","395","495","36","233","29.10.12"
"511065","139","Одеська область","школа №2 НВК - центр ПТУ, фойє старшої школи
просп.Леніна, 18, м.Южне, Одеська обл., 65481","2224","954","2213","4","1266","4","1270","","0","1266","4","1270","57","1213","467","451","22","273","29.10.12"
"511066","139","Одеська область","школа №2 НВК - центр ПТУ, фойє молодшої школи
просп.Леніна, 18, м.Южне, Одеська обл., 65481","2024","870","2008","17","1145","9","1154","","0","1144","9","1153","48","1105","410","424","22","249","29.10.12"
"511067","139","Одеська область","ПК ""Дружба"", паркетна зала
площа Перемоги, 1, м.Южне, Одеська обл., 65481","2352","1086","2327","18","1256","10","1266","","0","1256","10","1266","50","1216","506","430","30","250","28.10.12"
"511068","139","Одеська область","ФСК ""Хімік"" ВАТ ""ОПЗ"", спортивна зала
площа Перемоги, 1, м.Южне, Одеська обл., 65481","2240","1014","2229","7","1220","6","1226","","0","1220","6","1226","47","1179","491","448","26","214","29.10.12"
"511069","139","Одеська область","Авторська школа М.П.Гузика, фойє
вул.Хіміків, 10А, м.Южне, Одеська обл., 65481","2120","936","2095","12","1178","6","1184","","0","1178","6","1184","37","1147","463","459","26","199","29.10.12"
"511070","139","Одеська область","НВО ім.В.Чорновола, актова зала
просп.Григорівського десанту, 24А, м.Южне, Одеська обл., 65481","2104","912","2092","21","1178","14","1192","","0","1178","14","1192","55","1137","382","468","33","254","02.11.12"
"511071","139","Одеська область","школа №1, фойє старшої школи
просп.Леніна, 19А, м.Южне, Одеська обл., 65481","2040","867","2025","29","1147","26","1173","","0","1147","26","1173","48","1125","387","482","24","232","29.10.12"
"511072","139","Одеська область","школа №1, спортивна зала
просп.Леніна, 19А, м.Южне, Одеська обл., 65481","2088","850","2065","19","1226","12","1238","","0","1225","12","1237","46","1191","463","506","23","199","29.10.12"
"511366","139","Одеська область","школа №48, актова зала, 1-й поверх
вул.Суворовська 11-а, 2, м.Одеса, 65069","2400","1469","2366","23","910","21","931","","0","910","21","931","43","888","417","313","21","137","29.10.12"
"511367","139","Одеська область","школа №48, фойє, 1-й поверх
вул.Суворовська 11-а, 2, м.Одеса, 65069","2432","1480","2400","31","927","25","952","","0","927","25","952","75","877","343","275","34","225","29.10.12"
"511368","139","Одеська область","школа №48, вестибюль, 1-й поверх
вул.Суворовська 11-а, 2, м.Одеса, 65069","2392","1204","2356","26","1169","19","1188","","0","1169","19","1188","75","1113","391","419","48","255","29.10.12"
"511369","139","Одеська область","школа №12, вестибюль, 1-й поверх
вул.Марсельська, 6, м.Одеса, 65069","2320","1216","2289","28","1087","17","1104","","0","1087","17","1104","116","988","312","352","49","275","04.11.12"
"511370","139","Одеська область","школа №12, спортивна зала, 1-й поверх
вул.Марсельська, 6, м.Одеса, 65069","2368","1192","2341","20","1163","13","1176","","0","1163","13","1176","94","1082","399","370","31","282","29.10.12"
"511371","139","Одеська область","школа №12, фойє, 1-й поверх
вул.Марсельська, 6, м.Одеса, 65069","2376","1252","2345","33","1102","22","1124","","0","1102","22","1124","66","1058","401","375","35","247","28.10.12"
"511372","139","Одеська область","Одеський центр профтехосвіти, їдальнія, 1-й поверх
вул.Академіка Заболотного, 9, м.Одеса, 65069","2368","1275","2312","20","1081","12","1093","","0","1081","12","1093","96","997","340","375","39","243","29.10.12"
"511373","139","Одеська область","Одеський центр профтехосвіти, спортивна зала, 1-й поверх
вул.Академіка Заболотного, 9, м.Одеса, 65069","2256","1230","2219","24","1010","16","1026","","0","1010","16","1026","83","943","317","364","38","224","04.11.12"
