"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гречко
Володимир
Васильович","Данильчук
Олександр
Юрійович","Добриднік
Микола
Мусійович","Корнійко
Роман
Іванович","Кособуцький
Олексій
Миколайович","Кучерук
Микола
Герасимович","Максимов
Олександр
Іванович","Овчинніков
Сергій
Михайлович","Старовецький
Володимир
Миколайович","Сухан
Віктор
Григорович","Федас
Віктор
Васильович","Циганенко
Андрій
Володимирович","Шершун
Микола
Харитонович","Дата підписання протоколу"
"560489","156","Рівненська область","сільський клуб, танцювальна зала
вул.Б.Хмельницького, 6, с.Пеньків, Костопільський р-н, Рівненська обл., 35020","200","79","197","18","106","15","121","","0","106","15","121","6","115","7","24","4","0","1","31","4","1","1","0","0","1","41","28.10.12"
"560490","156","Рівненська область","сільський клуб, актова зала
вул.Шевченка, 109, с.Велика Любаша, Костопільський р-н, Рівненська обл., 35024","724","376","724","14","338","10","348","","0","338","10","348","20","328","12","59","7","7","9","152","19","3","2","2","6","5","45","29.10.12"
"560491","156","Рівненська область","школа, класна кімната
вул.Молодіжна, 35А, с.Корчів’я, Костопільський р-н, Рівненська обл., 35064","576","234","554","14","328","14","342","","0","328","14","342","15","327","7","47","8","8","6","165","8","1","3","0","6","17","51","28.10.12"
"560492","156","Рівненська область","школа, спортивна зала
вул.Шкільна, 2, с.Космачів, Костопільський р-н, Рівненська обл., 35023","180","69","176","9","106","5","111","","0","106","5","111","7","104","1","23","0","0","4","32","8","1","3","1","0","6","25","28.10.12"
"560493","156","Рівненська область","школа, фойє
вул.Жовтнева, 1, с.Підлужне, Костопільський р-н, Рівненська обл., 35023","632","304","629","28","300","28","328","","0","300","28","328","16","312","7","72","9","4","10","134","15","5","4","1","5","2","44","29.10.12"
"560494","156","Рівненська область","школа, класна кімната
вул.Героїв УПА, 19А, с.Трубиці, Костопільський р-н, Рівненська обл., 35023","288","119","285","12","157","12","169","","0","157","12","169","7","162","9","20","2","3","1","78","3","1","1","0","3","2","39","29.10.12"
"560495","156","Рівненська область","лісництво, фойє
вул.Лісна, 4, с.Моквинські Хутори, Костопільський р-н, Рівненська обл., 35031","272","115","268","6","152","5","157","","0","152","5","157","8","149","7","21","13","1","9","45","0","1","7","2","0","4","39","28.10.12"
"560496","156","Рівненська область","сільський клуб, танцювальна зала
вул.Незалежності, 55, с.Пісків, Костопільський р-н, Рівненська обл., 35032","896","386","883","22","488","22","510","","0","488","22","510","4","506","10","113","9","11","10","206","15","3","9","4","4","9","103","28.10.12"
"560497","156","Рівненська область","сільський клуб, танцювальна зала
вул.Шкільна, 16, с.Рокитне, Костопільський р-н, Рівненська обл., 35033","476","195","472","30","254","27","281","","0","254","27","281","11","270","12","41","4","4","5","139","9","2","4","1","2","0","47","28.10.12"
"560498","156","Рівненська область","сільський клуб, танцювальна зала
вул.Правди, 2, с.Яснобір, Костопільський р-н, Рівненська обл., 35033","100","36","101","3","61","3","64","","0","61","3","64","3","61","2","4","3","2","4","13","0","0","1","0","0","19","13","28.10.12"
"560499","156","Рівненська область","школа, фойє
вул.Незалежності, 10, с.Постійне, Костопільський р-н, Рівненська обл., 35050","1512","534","1496","68","914","64","978","","0","914","64","978","40","938","5","314","11","7","2","239","4","0","2","2","1","1","350","29.10.12"
"560500","156","Рівненська область","сільський клуб, зала засідань
вул.Центральна, 33, с.Волиця, Костопільський р-н, Рівненська обл., 35021","140","50","138","8","82","8","90","","0","82","8","90","2","88","8","10","2","1","1","23","3","0","0","0","0","3","37","29.10.12"
"560501","156","Рівненська область","школа, фойє
вул.Набережна, 88, с.Жалин, Костопільський р-н, Рівненська обл., 35022","524","166","514","38","320","38","358","","0","320","38","358","12","346","11","61","8","14","2","135","7","3","3","0","6","12","84","29.10.12"
"560502","156","Рівненська область","школа, класна кімната
вул.Л.Українки, 3, с.Збуж, Костопільський р-н, Рівненська обл., 35022","316","113","313","10","193","10","203","","0","193","10","203","4","199","3","16","7","23","4","66","4","0","2","0","1","2","71","28.10.12"
"560503","156","Рівненська область","сільська рада, зала засідань
вул.Молодіжна, 1, с.Яполоть, Костопільський р-н, Рівненська обл., 35021","636","280","627","6","350","6","356","","0","350","6","356","27","329","16","28","8","8","0","102","3","0","4","2","1","8","149","29.10.12"
"560504","156","Рівненська область","Костопільська дільниця по випуску теплоізоляційних матеріалів, фойє
вул.Степанська, 115, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","1900","943","1877","13","946","11","957","","0","946","11","957","38","919","35","151","26","51","25","424","45","9","7","7","22","11","106","29.10.12"
"560505","156","Рівненська область","центр культури і дозвілля, актова зала
вул.Степанська, 12, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2376","1177","2326","17","1185","14","1199","","0","1185","14","1199","45","1154","31","195","33","27","19","547","44","10","19","8","41","18","162","28.10.12"
"560506","156","Рівненська область","школа №3, зала їдальні
вул.М.Грушевського, 11, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","1368","653","1344","15","702","13","715","","0","702","13","715","32","683","14","150","14","18","25","263","32","7","20","13","22","16","89","29.10.12"
"560507","156","Рівненська область","районний будинок культури, фойє
вул.Д.Галицького, 1, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2016","908","1976","23","1089","19","1108","","0","1089","19","1108","38","1070","22","198","20","20","25","466","53","11","29","12","20","21","173","29.10.12"
"560508","156","Рівненська область","КП ""Костопільське будинкоуправління"", зала засідань
вул.1 Травня, 7А, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","1760","879","1740","17","868","13","881","","0","868","13","881","43","838","24","177","15","22","24","364","42","6","15","9","19","18","103","29.10.12"
"560509","156","Рівненська область","школа №8, спортивна зала
вул.Зелена, 3, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2152","1016","2105","18","1119","17","1136","","0","1119","17","1136","45","1091","25","216","7","28","12","394","166","7","16","5","38","23","154","28.10.12"
"560510","156","Рівненська область","магазин райспоживспілки, торгова зала
вул.Хмизопільська, 50, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","608","280","596","5","323","5","328","","0","323","5","328","6","322","5","20","0","4","3","87","149","0","1","2","5","5","41","28.10.12"
"560511","156","Рівненська область","школа №4, спортивна зала
вул.Лятуринської, 15, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2048","958","2111","27","1070","20","1090","","0","1070","20","1090","41","1049","24","189","20","37","26","466","43","7","17","13","27","26","154","29.10.12"
"560512","156","Рівненська область","школа №5, спортивна зала
вул.Сидорова, 1А, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2340","1153","2305","15","1176","11","1187","","0","1176","11","1187","80","1107","46","245","20","34","13","458","58","7","20","11","28","18","149","29.10.12"
"560513","156","Рівненська область","КП ""Костопільські районні мережі"", зала засідань, колишній Агробуд
вул.Проектова, 50, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","1928","1046","1907","12","871","11","882","","0","871","11","882","37","845","50","127","20","46","11","359","47","12","15","2","19","24","113","29.10.12"
"560514","156","Рівненська область","АТП-15638, зала засідань
вул.Рівненська, 107, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2124","1023","2077","15","1087","14","1101","","0","1087","14","1101","55","1046","27","167","16","45","16","522","50","6","8","11","51","18","109","29.10.12"
"560515","156","Рівненська область","Костопільське міжрайонне управління водного господарства, актова зала
вул.Сарненська, 26, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2236","1087","2197","25","1129","20","1149","","0","1129","20","1149","67","1082","20","208","17","41","24","533","66","7","12","6","21","14","113","29.10.12"
"560516","156","Рівненська область","школа №6, вестибюль
вул.Ю.Жилки, 3, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","2340","1077","1268","25","1243","20","1263","","0","1243","20","1263","58","1205","34","184","18","53","17","623","72","12","9","15","39","13","116","29.10.12"
"560517","156","Рівненська область","Костопільська центральна районна лікарня, палати пацієнтів
вул.Степанська, 52А, м.Костопіль, Костопільський р-н, Рівненська обл., 35000","124","42","91","65","22","60","82","","0","22","60","82","4","78","6","9","0","1","1","32","2","0","1","0","2","3","21","28.10.12"
"560777","156","Рівненська область","дитсадок №7, актова зала
вул.Дослідна станція, 3А, м.Сарни, Сарненський р-н, Рівненська обл., 34500","476","196","470","1","279","1","280","","0","279","1","280","9","271","10","31","4","3","0","87","2","14","14","0","2","19","85","29.10.12"
"560778","156","Рівненська область","Управління водного господарства, приміщення для засідань
вул.Бегми, 61, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1124","498","1107","9","621","5","626","","0","621","5","626","27","599","8","27","38","20","8","264","1","45","29","2","8","26","123","29.10.12"
"560779","156","Рівненська область","ДП ""Сарненський лісгосп"", актова зала
вул.Гоголя, 34, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1192","515","1179","18","660","17","677","","0","660","17","677","33","644","10","39","28","10","3","255","1","37","42","1","10","42","166","29.10.12"
"560780","156","Рівненська область","НВК ""Школа-колегіум"", актова зала
вул.В’ячеслава Чорновола, 1, м.Сарни, Сарненський р-н, Рівненська обл., 34500","952","470","938","9","473","9","482","","0","473","9","482","12","470","3","40","22","13","2","195","3","24","48","1","4","38","77","29.10.12"
"560781","156","Рівненська область","школа №4, спортивна зала
вул.В’ячеслава Чорновола, 2, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1068","497","1053","20","560","11","571","","0","560","11","571","25","546","5","35","28","16","3","214","2","44","57","0","4","53","85","29.10.12"
"560782","156","Рівненська область","Педагогічний коледж, навчальний корпус, фойє
вул.Ковельська, 16, м.Сарни, Сарненський р-н, Рівненська обл., 34500","984","457","985","8","521","6","527","","0","521","6","527","23","504","12","54","22","12","1","244","0","22","24","3","6","14","90","29.10.12"
"560783","156","Рівненська область","будинок дітей та молоді, спортивна зала
вул.Ковельська, 9, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1264","677","1250","9","580","7","587","","0","580","7","587","31","556","4","58","45","13","3","226","3","42","46","3","6","35","72","29.10.12"
"560784","156","Рівненська область","ВАТ ""СЗМТК"", вестибюль
вул.17 Вересня, 21, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1268","566","1237","11","697","5","702","","0","697","5","702","46","656","5","44","35","21","7","229","1","38","95","2","9","45","125","29.10.12"
"560785","156","Рівненська область","МБК ""Залізничник"", вестибюль
вул.Залізнична, 18, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1420","723","1399","20","677","20","697","","0","677","20","697","38","659","10","52","55","18","10","216","2","38","68","4","3","73","110","29.10.12"
"560786","156","Рівненська область","міська рада, зала засідань
вул.Широка, 31, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1144","546","1127","19","584","14","598","","0","584","14","598","24","574","4","63","26","8","6","226","1","35","52","6","9","38","100","29.10.12"
"560787","156","Рівненська область","гімназія, актова зала
вул.Бєлгородська, 1, м.Сарни, Сарненський р-н, Рівненська обл., 34500","948","456","928","14","481","11","492","","0","481","11","492","27","465","5","35","35","7","1","135","0","43","52","1","4","47","100","29.10.12"
"560788","156","Рівненська область","дитсадок №6, музична зала
вул.8 Березня, 3, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1516","746","1488","5","766","4","770","","0","766","4","770","35","735","15","56","51","24","9","273","5","53","59","2","13","62","113","29.10.12"
"560789","156","Рівненська область","дитсадок №8, музична зала
вул.Бєлгородська, 1А, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1256","605","1255","2","649","2","651","","0","649","2","651","20","631","7","37","50","24","1","242","3","67","35","2","8","51","104","29.10.12"
"560790","156","Рівненська область","школа №5, актова зала
вул.Коперніка, 10, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1288","678","1285","6","604","6","610","","0","604","6","610","17","593","10","62","33","11","5","224","1","58","34","0","3","61","91","29.10.12"
"560791","156","Рівненська область","ПМК-81, актова зала
вул.Ткача, 5, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1236","590","1230","12","639","7","646","","0","639","7","646","14","632","3","45","34","10","9","218","0","85","34","2","6","56","130","29.10.12"
"560792","156","Рівненська область","школа №2, вестибюль
вул.Кузнєцова, 23, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1408","656","1387","29","729","23","752","","0","729","23","752","32","720","10","57","52","3","13","274","4","71","46","1","18","52","119","29.10.12"
"560793","156","Рівненська область","ВПУ-22, актова зала
вул.Технічна, 4, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1576","851","1552","3","722","3","725","","0","722","3","725","34","691","15","59","38","10","4","241","1","87","51","3","11","57","114","29.10.12"
"560794","156","Рівненська область","клуб ""Колос"", глядацька зала
вул.Гагаріна, 60А, м.Сарни, Сарненський р-н, Рівненська обл., 34500","1900","1054","1877","13","833","13","846","","0","833","13","846","40","806","7","67","54","5","6","346","0","75","21","2","4","61","158","29.10.12"
"560795","156","Рівненська область","школа, вестибюль
вул.Меліораторів, 5, смт Клесів, Сарненський р-н, Рівненська обл., 34550","1084","570","1080","10","504","10","514","","0","504","10","514","24","490","6","40","110","4","7","125","1","10","12","0","5","21","149","29.10.12"
"560796","156","Рівненська область","будинок культури, актова зала
вул.Леніна, 17, смт Клесів, Сарненський р-н, Рівненська обл., 34550","2456","1235","2434","25","1198","23","1221","","0","1198","23","1221","67","1154","19","96","201","12","6","338","2","40","38","4","14","65","319","29.10.12"
"560797","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 119, с.Клесів, Сарненський р-н, Рівненська обл., 34550","1540","986","1539","25","532","22","554","","0","532","22","554","37","517","6","31","71","4","4","116","3","13","11","6","1","77","174","29.10.12"
"560798","156","Рівненська область","будинок культури, актова зала
вул.Київська, 4, смт Степань, Сарненський р-н, Рівненська обл., 34560","1384","611","1373","59","721","52","773","","0","721","52","773","16","757","3","30","32","197","6","356","1","6","7","0","13","14","92","29.10.12"
"560799","156","Рівненська область","будинок дітей та молоді, актова зала
вул.Київська, 24, смт Степань, Сарненський р-н, Рівненська обл., 34560","1576","603","1498","46","940","33","973","","0","940","33","973","31","942","5","30","55","294","5","328","0","3","10","15","24","12","161","29.10.12"
"560800","156","Рівненська область","школа, вестибюль
вул.Шкільна, 3, с.Калинівка, Сарненський р-н, Рівненська обл., 34574","532","224","524","11","299","9","308","","0","299","9","308","18","290","7","5","21","58","3","90","2","3","7","0","4","10","80","29.10.12"
"560801","156","Рівненська область","сільський клуб, глядацька зала
вул.Миру, 2, с.Мельниця, Сарненський р-н, Рівненська обл., 34574","236","59","235","15","163","14","177","","0","163","14","177","8","169","0","7","0","15","2","47","0","1","1","0","5","7","84","28.10.12"
"560802","156","Рівненська область","школа, вестибюль
вул.Зелена, 23, с.Грушівка, Сарненський р-н, Рівненська обл., 34560","152","34","158","3","115","3","118","","0","115","3","118","6","112","4","0","18","7","3","42","0","0","3","0","0","2","33","29.10.12"
"560803","156","Рівненська область","школа, вестибюль
вул.Богдана Хмельницького, 28, с.Труди, Сарненський р-н, Рівненська обл., 34574","120","35","104","13","73","12","85","","0","73","12","85","2","83","0","0","2","15","1","30","1","0","1","0","5","5","23","29.10.12"
"560804","156","Рівненська область","школа, вестибюль
вул.Лісова, 20, с.Двірець, Сарненський р-н, Рівненська обл., 34560","104","41","98","0","63","0","63","","0","63","0","63","2","61","0","5","4","3","0","9","0","0","1","0","7","1","31","29.10.12"
"560805","156","Рівненська область","будинок культури, актова зала
вул.Першотравнева, 46, с.Велике Вербче, Сарненський р-н, Рівненська обл., 34531","1808","569","1789","52","1189","50","1239","","0","1189","50","1239","40","1199","22","68","155","50","14","528","9","20","35","24","7","38","229","29.10.12"
"560806","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 14, с.Бутейки, Сарненський р-н, Рівненська обл., 34571","484","118","482","25","341","25","366","","0","341","25","366","6","360","12","22","22","52","1","114","1","5","8","2","6","21","94","29.10.12"
"560807","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 58, с.Вирка, Сарненський р-н, Рівненська обл., 34571","204","38","211","22","146","20","166","","0","146","20","166","7","159","1","10","13","2","1","50","2","2","4","2","0","2","70","29.10.12"
"560808","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 2Б, с.Вири, Сарненський р-н, Рівненська обл., 34551","1300","595","1292","0","705","0","705","","0","705","0","705","29","676","21","28","112","57","5","217","0","8","8","7","4","29","180","29.10.12"
"560809","156","Рівненська область","сільський клуб, глядацька зала
вул.Заводська, 16, с.Гранітне, Сарненський р-н, Рівненська обл., 34573","376","105","370","0","271","0","271","","0","271","0","271","15","256","9","8","24","16","1","62","1","5","10","1","4","20","95","29.10.12"
"560810","156","Рівненська область","сільський клуб, глядацька зала
вул.Шкільна, 1, с.Олексіївка, Сарненський р-н, Рівненська обл., 34573","204","66","203","0","138","0","138","","0","138","0","138","5","133","4","3","10","2","2","30","0","1","5","0","1","14","61","29.10.12"
"560811","156","Рівненська область","сільський клуб, глядацька зала
вул.Лісна, 1, с.Федорівка, Сарненський р-н, Рівненська обл., 34577","480","218","476","7","255","7","262","","0","255","7","262","12","250","9","16","23","3","1","46","0","2","7","1","1","27","114","29.10.12"
"560812","156","Рівненська область","будинок культури, глядацька зала
вул.Центральна, 103, с.Зносичі, Сарненський р-н, Рівненська обл., 34545","1532","560","1525","35","945","27","972","","0","945","27","972","34","938","18","60","26","19","2","230","2","19","8","5","20","56","473","29.10.12"
"560813","156","Рівненська область","будинок культури, актова зала
вул.Литовська, 1А, с.Кам’яне-Случанське, Сарненський р-н, Рівненська обл., 34543","940","434","933","8","498","8","506","","0","498","8","506","29","477","18","20","30","7","3","66","0","5","35","2","9","30","252","29.10.12"
"560814","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 14, с.Карасин, Сарненський р-н, Рівненська обл., 34511","400","117","396","27","256","27","283","","0","256","27","283","32","251","5","21","20","11","0","54","0","2","10","1","0","25","102","29.10.12"
"560815","156","Рівненська область","будинок культури, актова зала
вул.Радянська, 49, с.Карпилівка, Сарненський р-н, Рівненська обл., 34513","1568","486","1549","55","1028","54","1082","","0","1028","54","1082","51","1031","17","51","73","24","15","344","9","31","22","26","9","36","374","29.10.12"
"560816","156","Рівненська область","сільський клуб, глядацька зала
вул.Щорса, 1А, с.Рудня-Карпилівська, Сарненський р-н, Рівненська обл., 34513","344","114","338","10","220","10","230","","0","220","10","230","7","223","8","12","17","14","7","52","0","4","2","2","0","14","91","29.10.12"
"560817","156","Рівненська область","будинок культури, глядацька зала
вул.Центральна, 100, с.Корост, Сарненський р-н, Рівненська обл., 34532","1492","620","1478","26","849","23","872","","0","849","23","872","29","843","9","39","136","26","6","366","0","12","20","3","11","25","190","29.10.12"
"560818","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 61, с.Мале Вербче, Сарненський р-н, Рівненська обл., 34533","720","278","704","10","432","10","442","","0","432","10","442","31","411","9","23","58","6","8","188","2","9","11","4","3","8","82","29.10.12"
"560819","156","Рівненська область","сільський клуб, вестибюль
вул.Центральна, 26, с.Одринки, Сарненський р-н, Рівненська обл., 34575","436","169","434","0","267","0","267","","0","267","0","267","15","252","5","3","85","23","2","46","2","2","17","1","2","5","59","28.10.12"
"560820","156","Рівненська область","сільський клуб, глядацька зала
вул.Шевченка, 4, с.Костянтинівка, Сарненський р-н, Рівненська обл., 34509","936","474","920","47","415","47","462","","0","415","47","462","9","453","10","25","45","23","1","133","1","14","25","1","3","21","151","29.10.12"
"560821","156","Рівненська область","школа, вестибюль
вул.Миру, 50, с.Орлівка, Сарненський р-н, Рівненська обл., 34509","392","207","383","14","171","14","185","","0","171","14","185","10","175","6","24","6","7","1","65","1","4","11","2","0","9","39","29.10.12"
"560822","156","Рівненська область","будинок культури, актова зала
вул.Шевченка, 196А, с.Кричильськ, Сарненський р-н, Рівненська обл., 34530","1880","958","1859","14","908","14","922","","0","908","14","922","33","889","6","20","314","8","5","343","3","3","10","6","4","21","146","29.10.12"
"560823","156","Рівненська область","школа, вестибюль
вул.Центральна, 92, с.Поляна, Сарненський р-н, Рівненська обл., 34530","292","115","293","12","165","12","177","","0","165","12","177","1","176","1","1","82","4","0","16","0","1","1","0","0","2","68","29.10.12"
"560824","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 30, с.Угли, Сарненський р-н, Рівненська обл., 34530","216","69","213","9","138","9","147","","0","138","9","147","3","144","0","4","44","3","2","32","2","5","3","0","0","2","47","29.10.12"
"560825","156","Рівненська область","будинок культури, глядацька зала
вул.Кузнєцова, 102, с.Кузьмівка, Сарненський р-н, Рівненська обл., 34561","496","187","492","43","271","38","309","","0","271","38","309","6","303","6","9","19","33","0","89","0","3","7","2","2","14","119","28.10.12"
"560826","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 55, с.Яблунька, Сарненський р-н, Рівненська обл., 34562","204","42","201","26","137","25","162","","0","137","25","162","8","154","6","2","19","26","5","28","0","2","0","0","2","7","57","29.10.12"
"560827","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 49, с.Волоша, Сарненський р-н, Рівненська обл., 34561","152","48","149","17","88","16","104","","0","88","16","104","5","99","3","10","6","12","0","13","0","2","0","2","3","0","48","29.10.12"
"560828","156","Рівненська область","будинок культури, глядацька зала
вул.Центральна, 119, с.Любиковичі, Сарненський р-н, Рівненська обл., 34510","948","416","929","27","508","24","532","","0","508","24","532","28","504","15","27","24","17","6","138","4","17","24","5","0","53","174","29.10.12"
"560829","156","Рівненська область","сільський клуб, глядацька зала
вул.Шкільна, 1, с.Білятичі, Сарненський р-н, Рівненська обл., 34510","292","110","288","13","171","11","182","","0","171","11","182","10","172","3","15","5","6","1","78","0","1","14","0","1","12","36","29.10.12"
"560830","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 22А, с.Мар’янівка, Сарненський р-н, Рівненська обл., 34510","212","67","207","16","129","16","145","","0","129","16","145","9","136","1","12","12","3","0","49","2","0","5","1","0","10","41","29.10.12"
"560831","156","Рівненська область","будинок культури, актова зала
вул.Центральна, 75, с.Люхча, Сарненський р-н, Рівненська обл., 34508","1692","734","1666","13","948","10","958","","0","948","10","958","42","916","4","52","34","9","5","292","3","18","15","3","2","23","456","29.10.12"
"560832","156","Рівненська область","сільський клуб, глядацька зала
вул.Франка, 48, с.Глушиця, Сарненський р-н, Рівненська обл., 34572","876","434","874","4","438","4","442","","0","437","4","441","13","428","10","13","20","3","5","120","0","6","25","0","2","18","206","29.10.12"
"560833","156","Рівненська область","школа, вестибюль
вул.Шкільна, 3Б, с.Дубки, Сарненський р-н, Рівненська обл., 34572","356","141","356","3","212","3","215","","0","212","3","215","8","207","4","17","8","5","1","58","0","4","5","1","1","5","98","29.10.12"
"560834","156","Рівненська область","сільський клуб, глядацька зала
вул.Лесі Українки, 2А, с.Обірки, Сарненський р-н, Рівненська обл., 34572","144","44","150","1","99","1","100","","0","99","1","100","3","97","2","8","5","3","1","25","1","3","4","1","0","5","39","29.10.12"
"560835","156","Рівненська область","сільський клуб, глядацька зала
вул.Радянська, 6, с.Немовичі, Сарненський р-н, Рівненська обл., 34540","2284","1212","2255","23","1049","23","1072","","0","1049","23","1072","34","1038","14","94","78","14","7","301","4","38","22","4","14","26","422","29.10.12"
"560836","156","Рівненська область","адмінприміщення ВК-46, приміщення для засідань
вул.Ткача, 31, с.Катеринівка, Сарненський р-н, Рівненська обл., 34541","552","243","543","7","302","7","309","","0","302","7","309","12","297","17","17","15","5","2","70","1","10","12","3","3","32","110","29.10.12"
"560837","156","Рівненська область","приміщення лісництва, приміщення для засідань
вул.Залізнична, 11, с-ще Немовичі, Сарненський р-н, Рівненська обл., 34540","96","38","94","12","46","12","58","","0","46","12","58","1","57","0","1","2","1","0","9","1","2","0","0","0","1","40","29.10.12"
"560838","156","Рівненська область","адмінприміщення сільської ради, приміщення для засідань
вул.Перемоги, 21, с.Ремчиці, Сарненський р-н, Рівненська обл., 34520","644","312","628","39","293","39","332","","0","293","39","332","13","319","3","18","16","2","1","91","0","14","12","3","0","16","143","29.10.12"
"560839","156","Рівненська область","школа, вестибюль
вул.Кузнєцова, 64, с.Тріскині, Сарненський р-н, Рівненська обл., 34521","1112","584","1115","10","518","10","528","","0","518","10","528","24","504","13","20","30","12","3","268","0","9","8","4","3","12","122","29.10.12"
"560840","156","Рівненська область","школа, вестибюль
вул.Шевченка, 44, с.Яринівка, Сарненський р-н, Рівненська обл., 34580","652","308","649","25","319","25","344","","0","319","25","344","16","328","7","11","19","5","4","151","1","14","13","2","1","13","87","29.10.12"
"560841","156","Рівненська область","адмінприміщення сільської ради, приміщення для засідань
вул.40-річчя Перемоги, 2, с.Селище, Сарненський р-н, Рівненська обл., 34552","1080","434","1059","44","603","43","646","","0","603","43","646","23","623","28","34","55","16","4","228","5","16","63","6","6","48","114","29.10.12"
"560842","156","Рівненська область","сільський клуб, глядацька зала
вул.40-річчя Перемоги, 3, с.Ясногірка, Сарненський р-н, Рівненська обл., 34553","1112","544","1112","7","561","7","568","","0","561","7","568","35","533","21","14","68","26","1","163","2","11","3","3","8","13","200","29.10.12"
"560843","156","Рівненська область","сільський клуб, глядацька зала
вул.Грушевського, 9А, с.Чабель, Сарненський р-н, Рівненська обл., 34579","724","298","721","13","413","13","426","","0","413","13","426","23","403","9","8","47","10","3","139","4","7","1","0","5","6","164","29.10.12"
"560844","156","Рівненська область","будинок культури, глядацька зала
вул.Чапленка, 32, с.Стрільськ, Сарненський р-н, Рівненська обл., 34512","1644","696","1631","51","899","49","948","","0","899","49","948","45","903","22","40","31","15","9","262","9","12","20","15","2","53","413","29.10.12"
"560845","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 1, с.Маслопуща, Сарненський р-н, Рівненська обл., 34512","100","58","95","0","42","0","42","","0","42","0","42","1","41","0","2","4","0","0","13","1","0","1","0","0","0","20","28.10.12"
"560846","156","Рівненська область","будинок культури, актова зала
вул.Українська, 1, с.Тинне, Сарненський р-н, Рівненська обл., 34544","2228","970","2219","65","1196","62","1258","","0","1196","62","1258","50","1208","22","35","96","41","7","553","9","16","15","7","20","48","339","29.10.12"
"560847","156","Рівненська область","школа, спортивна зала
вул.Садова, 2, с.Тинне, Сарненський р-н, Рівненська обл., 34544","592","251","593","4","337","4","341","","0","337","4","341","19","322","7","20","23","20","1","143","2","5","5","3","3","34","56","28.10.12"
"560848","156","Рівненська область","сільський клуб, глядацька зала
вул.І.Наумця, 75, с.Тутовичі, Сарненський р-н, Рівненська обл., 34522","780","305","777","9","466","9","475","","0","466","9","475","18","457","20","35","33","11","5","179","0","7","2","3","4","24","134","29.10.12"
"560849","156","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 83Б, с.Довге, Сарненський р-н, Рівненська обл., 34523","640","303","633","22","315","22","337","","0","315","22","337","8","329","3","7","32","9","3","108","0","5","4","1","2","8","147","28.10.12"
"560850","156","Рівненська область","школа, приміщення їдальні
вул.Центральна, 60, с.Цепцевичі, Сарненський р-н, Рівненська обл., 34578","1800","993","1792","12","796","11","807","","0","796","11","807","41","766","14","23","57","30","6","482","2","8","3","3","1","33","104","29.10.12"
