"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гречко
Володимир
Васильович","Данильчук
Олександр
Юрійович","Добриднік
Микола
Мусійович","Корнійко
Роман
Іванович","Кособуцький
Олексій
Миколайович","Кучерук
Микола
Герасимович","Максимов
Олександр
Іванович","Овчинніков
Сергій
Михайлович","Старовецький
Володимир
Миколайович","Сухан
Віктор
Григорович","Федас
Віктор
Васильович","Циганенко
Андрій
Володимирович","Шершун
Микола
Харитонович","Дата підписання протоколу"
"560021","156","Рівненська область","сільський клуб, зал
вул.Шевченка, 20Б, с.Губків, Березнівський р-н, Рівненська обл., 34654","640","223","628","48","369","48","417","","0","369","48","417","30","387","6","135","3","6","2","58","1","0","2","9","11","0","154","29.10.12"
"560022","156","Рівненська область","сільський клуб, зал
вул.Шевченка, 100А, с.Друхів, Березнівський р-н, Рівненська обл., 34643","1036","568","1032","46","427","41","468","","0","427","41","468","35","433","8","114","11","14","6","90","7","2","9","44","18","8","102","29.10.12"
"560023","156","Рівненська область","будинок культури, зал
вул.Радянська, 2, с.Зірне, Березнівський р-н, Рівненська обл., 34609","1952","779","1922","38","1136","37","1173","","0","1136","37","1173","30","1143","4","685","8","32","1","157","0","3","10","11","166","4","62","29.10.12"
"560024","156","Рівненська область","будинок культури, зал
вул.Кузнецова, 6, с.Кам’янка, Березнівський р-н, Рівненська обл., 34630","892","347","880","35","514","31","545","","0","514","31","545","22","523","4","282","13","4","1","96","1","4","4","9","13","2","90","29.10.12"
"560025","156","Рівненська область","сільський клуб, зал
вул.Рівненська, 18, с.Антонівка, Березнівський р-н, Рівненська обл., 34630","236","88","232","25","123","25","148","","0","123","25","148","1","147","2","49","5","1","1","44","0","1","3","3","2","1","35","28.10.12"
"560026","156","Рівненська область","школа, к.3
вул.Шкільна, 1А, с.Кургани, Березнівський р-н, Рівненська обл., 34663","396","155","392","26","216","25","241","","0","216","25","241","7","234","1","56","1","7","2","73","1","2","0","7","10","1","73","29.10.12"
"560027","156","Рівненська область","сільський клуб, зал
вул.Центральна, 73, с.Малинськ, Березнівський р-н, Рівненська обл., 34665","1196","528","1183","46","626","42","668","","0","626","42","668","25","643","7","124","39","24","6","205","1","0","18","24","14","6","175","28.10.12"
"560028","156","Рівненська область","сільський клуб, зал
вул.Кузнєцова, 15А, с.Малушка, Березнівський р-н, Рівненська обл., 34665","464","182","461","21","261","21","282","","0","261","21","282","12","270","0","17","8","7","0","21","0","0","0","6","3","1","207","29.10.12"
"560029","156","Рівненська область","сільський клуб, зал
вул.Шевченка, 17, с.Маринин, Березнівський р-н, Рівненська обл., 34655","668","266","661","30","374","28","402","","0","374","28","402","12","390","5","50","1","4","2","61","0","3","0","5","2","4","253","29.10.12"
"560030","156","Рівненська область","сільський клуб, зал
вул.Центральна, 1, с.Більчаки, Березнівський р-н, Рівненська обл., 34655","240","81","234","11","149","10","159","","0","149","10","159","7","152","2","24","1","5","0","26","0","1","1","0","1","1","90","29.10.12"
"560031","156","Рівненська область","сільський клуб, кабінет гурткової роботи
вул.Кірова, 31, с.Новий Моквин, Березнівський р-н, Рівненська обл., 34635","392","204","383","10","179","9","188","","0","179","9","188","4","184","1","75","7","7","1","47","0","1","2","7","11","0","25","28.10.12"
"560032","156","Рівненська область","сільська рада, зал урочистих подій
вул.Надслучанська, 4, с.Моквин, Березнівський р-н, Рівненська обл., 34634","1892","931","1863","32","933","28","961","","0","933","28","961","34","927","10","433","13","20","8","253","0","6","16","35","33","12","88","29.10.12"
"560033","156","Рівненська область","будинок культури, зал
вул.Шевченка, 19, с.Поліське, Березнівський р-н, Рівненська обл., 34650","1296","734","1275","19","544","18","562","","0","544","18","562","22","540","3","125","12","13","1","219","4","3","3","9","8","9","131","29.10.12"
"560034","156","Рівненська область","будинок культури, фойє
вул.Лесі Українки, 70, с.Поляни, Березнівський р-н, Рівненська обл., 34612","952","332","937","15","605","15","620","","0","605","15","620","21","599","16","162","29","60","11","137","2","11","13","27","13","10","108","29.10.12"
"560035","156","Рівненська область","сільський клуб, зал
вул.Андріївська, 39, с.Прислуч, Березнівський р-н, Рівненська обл., 34642","996","669","983","7","323","4","327","","0","323","4","327","15","312","4","89","3","9","1","79","1","3","4","9","23","4","83","29.10.12"
"560036","156","Рівненська область","школа, їдальня
вул.Андріївська, 116, с.Колодязне, Березнівський р-н, Рівненська обл., 34661","1020","607","1003","7","406","7","413","","0","406","7","413","18","395","4","74","8","6","3","158","2","2","2","8","7","7","114","28.10.12"
"560037","156","Рівненська область","сільський клуб, зал
вул.Поліська, 13А, с.Хотин, Березнівський р-н, Рівненська обл., 34667","1092","622","1078","14","457","13","470","","0","457","13","470","20","450","5","104","5","31","4","136","2","2","4","6","7","9","135","29.10.12"
"560038","156","Рівненська область","будинок дітей та молоді, актовий зал
вул.Шевченка, 9, смт Соснове, Березнівський р-н, Рівненська обл., 34652","2240","953","2221","75","1214","73","1287","","0","1214","73","1287","47","1240","21","289","10","38","7","318","0","7","20","65","24","16","425","29.10.12"
"560039","156","Рівненська область","сільський клуб, актовий зал
вул.Березнівська, 4А, с.Іванівка, Березнівський р-н, Рівненська обл., 34652","248","62","254","28","159","27","186","","0","159","27","186","5","181","2","37","0","9","3","24","0","0","1","1","1","1","102","29.10.12"
"560040","156","Рівненська область","сільський клуб, актовий зал
вул.Корецька, 17А, с.Глибочок, Березнівський р-н, Рівненська обл., 34652","160","36","153","18","106","18","124","","0","106","18","124","2","122","0","8","0","0","1","19","1","0","1","2","0","0","90","29.10.12"
"560041","156","Рівненська область","будинок культури, зал
вул.Незалежності, 185Б, с.Тишиця, Березнівський р-н, Рівненська обл., 34620","1216","585","1195","65","567","64","631","","0","567","64","631","20","611","12","226","11","5","2","80","3","1","8","31","32","5","195","29.10.12"
"560042","156","Рівненська область","сільський клуб, зал
вул.Незалежності, 65, с.Богуші, Березнівський р-н, Рівненська обл., 34621","888","434","875","15","439","15","454","","0","439","15","454","20","434","6","132","12","20","2","78","1","1","3","17","34","1","127","29.10.12"
"560043","156","Рівненська область","сільський клуб, зал
вул.О.Платонової, 1, с.Князівка, Березнівський р-н, Рівненська обл., 34662","680","182","668","29","469","29","498","","0","469","29","498","26","472","4","92","1","3","1","88","3","1","2","8","25","8","236","29.10.12"
"560044","156","Рівненська область","сільський клуб, зал
вул.Набережна, 6, с.Хмелівка, Березнівський р-н, Рівненська обл., 34656","228","65","222","17","146","17","163","","0","146","17","163","4","159","0","30","2","0","0","13","1","0","7","1","0","2","103","29.10.12"
"560045","156","Рівненська область","сільський клуб, зал
вул.Центральна, 2, с.Совпа, Березнівський р-н, Рівненська обл., 34657","200","63","196","9","129","8","137","","0","129","8","137","4","133","1","39","1","0","2","16","0","0","2","0","1","1","70","29.10.12"
"560046","156","Рівненська область","школа, хол
вул.Л.Українки, 1, с.Яринівка, Березнівський р-н, Рівненська обл., 34613","628","207","623","30","391","30","421","","0","391","30","421","20","401","5","93","18","16","2","97","2","3","6","8","8","7","136","29.10.12"
"560047","156","Рівненська область","будинок культури, зал
вул.Шевченка, 105, с.Яцьковичі, Березнівський р-н, Рівненська обл., 34641","808","285","803","40","484","39","523","","0","484","39","523","17","506","8","99","11","13","1","57","0","1","9","18","8","9","272","29.10.12"
"560048","156","Рівненська область","лікарня, актовий зал
вул.Київська, 19, м.Березне, Березнівський р-н, Рівненська обл., 34600","272","233","68","28","16","23","39","","0","16","23","39","2","37","1","19","1","0","1","7","1","0","0","0","0","0","7","29.10.12"
"560446","156","Рівненська область","будинок культури, танцювальна зала
вул.Центральна, 66А, с.Великий Мидськ, Костопільський р-н, Рівненська обл., 35012","668","188","659","43","440","40","480","","0","440","40","480","13","467","10","43","9","6","4","218","1","3","12","3","4","9","145","29.10.12"
"560447","156","Рівненська область","сільська рада, актова зала
вул.Зарічна, 50, с.Великий Стидин, Костопільський р-н, Рівненська обл., 35015","480","170","472","23","287","23","310","","0","287","23","310","8","302","6","89","7","4","4","80","4","2","2","1","2","3","98","28.10.12"
"560448","156","Рівненська область","сільський клуб, танцювальна зала
вул.Базальтівська, 5, с.Базальтове, Костопільський р-н, Рівненська обл., 35042","396","105","391","11","281","10","291","","0","281","10","291","8","283","4","48","1","4","1","92","1","1","0","2","0","2","127","29.10.12"
"560449","156","Рівненська область","сільський клуб, кімната ДВК
вул.Жовтнева, 51Б, с.Берестовець, Костопільський р-н, Рівненська обл., 35043","580","158","575","30","394","28","422","","0","394","28","422","12","410","90","25","11","10","1","120","1","2","0","2","4","3","141","29.10.12"
"560450","156","Рівненська область","будинок культури, актова зала
вул.Л.Українки, 74, с.Головин, Костопільський р-н, Рівненська обл., 35041","752","258","745","30","466","28","494","","0","466","28","494","24","470","13","100","7","14","7","206","3","3","1","2","1","3","110","28.10.12"
"560451","156","Рівненська область","сільський клуб, танцювальна зала
вул.Костопільська, 85, с.Іваничі, Костопільський р-н, Рівненська обл., 35063","424","160","416","10","254","10","264","","0","254","10","264","12","252","9","31","2","10","2","105","7","3","4","0","5","8","66","28.10.12"
"560452","156","Рівненська область","бібліотека, читальня
вул.Шевченка, 38, с.Садки, Костопільський р-н, Рівненська обл., 35041","204","78","198","15","111","15","126","","0","111","15","126","3","123","7","11","4","3","2","46","6","0","0","1","2","11","30","29.10.12"
