"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байцим
Василь
Федорович","Бурко
Іван
Михайлович","Верчук
Ігор
Васильович","Гузь
Ігор
Володимирович","Івахів
Степан
Петрович","Кононович
Олександр
Адамович","Скрипін
Ігор
Олександрович","Смітюх
Іван
Євдокимович","Дата підписання протоколу"
"070366","21","Волинська область","будинок культури, зал
вул.Лесі Українки, 30, с.Дортище, Ковельський р-н, Волинська обл., 45022","368","107","364","26","236","25","261","","0","236","25","261","2","259","1","1","6","81","112","2","3","53","29.10.12"
"070367","21","Волинська область","клуб, актовий зал
вул.Світла, 25А, с.Гішин, Ковельський р-н, Волинська обл., 45022","296","96","294","33","175","25","200","","0","175","25","200","3","197","2","1","10","59","56","2","5","62","29.10.12"
"070368","21","Волинська область","будинок культури, фойє
вул.Незалежності, 7, с.Дроздні, Ковельський р-н, Волинська обл., 45066","504","163","495","39","306","35","341","","0","306","35","341","6","335","2","1","8","87","155","4","6","72","29.10.12"
"070369","21","Волинська область","клуб, фойє
вул.Лугова, 9, с.Гончий Брід, Ковельський р-н, Волинська обл., 45066","80","20","81","3","59","1","60","","0","59","1","60","0","60","0","0","0","29","12","1","1","17","29.10.12"
"070370","21","Волинська область","будинок культури, фойє
вул.Першотравнева, 9, с.Дубове, Ковельський р-н, Волинська обл., 45031","1176","374","1178","30","773","29","802","","0","773","29","802","12","790","9","2","15","360","158","4","27","215","29.10.12"
"070371","21","Волинська область","клуб, актовий зал
вул.Незалежності, 3, с.Бахів, Ковельський р-н, Волинська обл., 45005","360","86","360","20","257","17","274","","0","257","17","274","4","270","8","2","0","81","49","1","9","120","29.10.12"
"070372","21","Волинська область","школа, актовий зал
вул.Ватутіна, 108, с.Вербка, Ковельський р-н, Волинська обл., 45032","904","329","904","31","544","31","575","","0","544","31","575","4","571","4","0","9","219","117","2","25","195","29.10.12"
"070373","21","Волинська область","будинок культури, фойє
вул.Ковельська, 43, с.Зелена, Ковельський р-н, Волинська обл., 45060","704","244","700","11","449","11","460","","0","449","11","460","7","453","3","6","3","220","101","3","24","93","29.10.12"
"070374","21","Волинська область","фельдшерсько-акушерський пункт, процедурна
вул.Центральна, 8, с.Воля-Ковельська, Ковельський р-н, Волинська обл., 45004","752","215","743","14","526","11","537","","0","526","11","537","8","529","3","2","7","274","133","2","21","87","29.10.12"
"070375","21","Волинська область","школа, коридор
вул.Шкільна, 18, с.Колодяжне, Ковельський р-н, Волинська обл., 45061","568","164","559","36","376","28","404","","0","376","28","404","7","397","1","0","5","130","92","1","3","165","29.10.12"
"070376","21","Волинська область","клуб, актовий зал
вул.Б.Хмельницького, 6, с.Волошки, Ковельський р-н, Волинська обл., 45062","416","108","411","45","266","42","308","","0","266","42","308","4","304","1","1","0","98","21","1","2","180","29.10.12"
"070377","21","Волинська область","фельдшерсько-акушерський пункт, каб.1
вул.Івана Франка, 20, с.Будище, Ковельський р-н, Волинська обл., 45061","72","25","68","8","39","8","47","","0","39","8","47","1","46","0","0","0","17","6","0","0","23","29.10.12"
"070378","21","Волинська область","школа, актовий зал
вул.Нова, 30, с.Козлиничі, Ковельський р-н, Волинська обл., 45045","368","79","364","34","260","29","289","","0","260","29","289","0","289","0","1","3","93","122","4","3","63","29.10.12"
"070379","21","Волинська область","клуб, актовий зал
вул.Незалежна, 53, с.Грив’ятки, Ковельський р-н, Волинська обл., 45046","168","48","164","8","112","8","120","","0","112","8","120","0","120","0","3","2","36","28","4","3","44","29.10.12"
"070380","21","Волинська область","школа, каб.1
вул.Перемоги, 38, с.Луківка, Ковельський р-н, Волинська обл., 45045","160","35","163","17","112","13","125","","0","112","13","125","1","124","0","0","0","61","35","0","0","28","28.10.12"
"070381","21","Волинська область","школа, каб.1
вул.Ранкова, 6, с.Шкурат, Ковельський р-н, Волинська обл., 45045","48","12","42","3","33","3","36","","0","33","3","36","0","36","0","0","0","6","11","2","0","17","29.10.12"
"070382","21","Волинська область","будинок культури, фойє
вул.Шевченка, 1, с.Кричевичі, Ковельський р-н, Волинська обл., 45040","504","105","496","22","378","21","399","","0","378","21","399","5","394","2","0","4","159","175","3","8","43","29.10.12"
"070383","21","Волинська область","школа, актовий зал
вул.Миру, 36, с.Ломачанка, Ковельський р-н, Волинська обл., 45040","168","46","161","17","106","16","122","","0","106","16","122","1","121","0","0","6","27","56","4","0","28","29.10.12"
"070384","21","Волинська область","школа, актовий зал
вул.Жовтнева, 96Д, с.Черемошне, Ковельський р-н, Волинська обл., 45040","360","101","355","26","237","22","259","","0","237","22","259","5","254","2","2","9","100","94","2","4","41","29.10.12"
"070385","21","Волинська область","школа, актовий зал
вул.Лесі Українки, 30, с.Любитів, Ковельський р-н, Волинська обл., 45063","520","193","505","26","305","22","327","","0","305","22","327","0","327","1","0","4","84","134","12","5","87","29.10.12"
"070386","21","Волинська область","будинок культури, фойє
вул.Незалежності, 68, с.Любитів, Ковельський р-н, Волинська обл., 45063","536","158","533","27","354","24","378","","0","354","24","378","2","376","2","2","5","118","108","7","10","124","29.10.12"
"070387","21","Волинська область","школа-садочок, актовий зал
вул.Молодіжна, 19, с.Воля-Любитівська, Ковельський р-н, Волинська обл., 45063","264","47","267","18","199","18","217","","0","199","18","217","2","215","2","0","0","39","120","0","7","47","29.10.12"
"070388","21","Волинська область","школа, класна кімната 2-4 класів
вул.Незалежності, 20А, с.Ворона, Ковельський р-н, Волинська обл., 45063","152","53","145","16","84","15","99","","0","84","15","99","5","94","0","0","0","27","40","0","5","22","29.10.12"
"070389","21","Волинська область","клуб, фойє
вул.Перемоги, 31, с.Рокитниця, Ковельський р-н, Волинська обл., 45064","240","69","240","2","169","2","171","","0","169","2","171","5","166","1","1","2","24","107","2","5","24","29.10.12"
"070390","21","Волинська область","будинок культури, фойє
вул.Дубова, 1, с.Майдан, Ковельський р-н, Волинська обл., 45093","144","23","145","8","115","6","121","","0","115","6","121","0","121","1","0","0","26","43","0","0","51","29.10.12"
"070391","21","Волинська область","фельдшерсько-акушерський пункт, приймальня
вул.Зелена, 42, с.Солотвин, Ковельський р-н, Волинська обл., 45093","128","43","122","12","76","9","85","","0","76","9","85","1","84","0","0","2","15","24","1","0","42","29.10.12"
"070392","21","Волинська область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Зелена, 17, с.Діброва, Ковельський р-н, Волинська обл., 45093","32","13","23","0","19","0","19","","0","19","0","19","1","18","0","0","0","6","8","0","0","4","29.10.12"
"070393","21","Волинська область","будинок культури, зал
вул.Б.Хмельницького, 4, с.Мельниця, Ковельський р-н, Волинська обл., 45080","344","90","342","28","232","22","254","","0","232","22","254","3","251","0","1","6","102","95","7","6","34","29.10.12"
"070394","21","Волинська область","клуб, актовий зал
вул.Перемоги, 34, с.Кривлин, Ковельський р-н, Волинська обл., 45080","96","17","95","8","71","8","79","","0","71","8","79","0","79","3","1","0","13","32","0","2","28","29.10.12"
"070395","21","Волинська область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Мічуріна, 18, с.Мирин, Ковельський р-н, Волинська обл., 45080","72","7","70","12","55","10","65","","0","55","10","65","0","65","0","0","1","26","20","1","1","16","29.10.12"
"070396","21","Волинська область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Шевченка, 34, с.Рудка-Миринська, Ковельський р-н, Волинська обл., 45080","88","13","90","14","62","13","75","","0","62","13","75","2","73","0","1","3","35","8","2","1","23","29.10.12"
"070397","21","Волинська область","школа, фойє
вул.40-річчя Перемоги, 60, с.Мощена, Ковельський р-н, Волинська обл., 45030","464","105","461","19","342","17","359","","0","342","17","359","2","357","1","0","6","135","84","5","13","113","29.10.12"
"070398","21","Волинська область","клуб, актовий зал
вул.40-річчя Перемоги, 47, с.Черкаси, Ковельський р-н, Волинська обл., 45030","200","94","198","6","100","6","106","","0","100","6","106","0","106","0","2","0","23","39","1","0","41","28.10.12"
"070399","21","Волинська область","школа, класна кімната 7
вул.Сонячна, 16, с.Новий Мосир, Ковельський р-н, Волинська обл., 45092","144","21","142","20","104","19","123","","0","104","19","123","0","123","0","1","1","33","35","2","4","47","29.10.12"
