"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байцим
Василь
Федорович","Бурко
Іван
Михайлович","Верчук
Ігор
Васильович","Гузь
Ігор
Володимирович","Івахів
Степан
Петрович","Кононович
Олександр
Адамович","Скрипін
Ігор
Олександрович","Смітюх
Іван
Євдокимович","Дата підписання протоколу"
"070733","21","Волинська область","будинок культури, фойє, 1-й поверх
вул.Центральна, 20, смт Ратне, Ратнівський р-н, Волинська обл., 44100","2504","905","2491","75","1543","56","1599","","0","1543","56","1599","33","1566","11","87","8","537","495","33","61","334","29.10.12"
"070734","21","Волинська область","школа-гімназія №1, актова зала, 1-й поверх
вул.Центральна, 50, смт Ратне, Ратнівський р-н, Волинська обл., 44100","2416","1016","2387","27","1380","20","1400","","0","1380","20","1400","32","1368","8","55","6","540","423","16","52","268","29.10.12"
"070735","21","Волинська область","школа, вестибюль
вул.Центральна, 86, с.Велимче, Ратнівський р-н, Волинська обл., 44164","984","290","976","35","663","31","694","","0","663","31","694","9","685","1","68","6","260","234","3","11","102","28.10.12"
"070736","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 107, с.Велимче, Ратнівський р-н, Волинська обл., 44164","1016","323","1004","57","644","49","693","","0","644","49","693","24","669","8","94","2","347","153","2","6","57","29.10.12"
"070737","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 24, с.Видраниця, Ратнівський р-н, Волинська обл., 44152","1240","394","1226","57","792","54","846","","2","790","54","844","20","824","6","9","9","229","227","11","14","319","29.10.12"
"070738","21","Волинська область","школа, спортзал
вул.Перемоги, 5, с.Гірники, Ратнівський р-н, Волинська обл., 44130","1504","620","1491","36","853","31","884","","0","853","31","884","31","853","3","12","2","315","339","10","10","162","29.10.12"
"070739","21","Волинська область","школа, фойє
вул.Озерна, 4, с.Броди, Ратнівський р-н, Волинська обл., 44132","920","339","910","50","535","46","581","","0","535","46","581","14","567","2","4","2","150","172","5","12","220","28.10.12"
"070740","21","Волинська область","школа, фойє
вул.Центральна, 37, с.Сільце, Ратнівський р-н, Волинська обл., 44131","416","155","407","8","253","8","261","","0","253","8","261","4","257","1","2","2","47","130","1","1","73","29.10.12"
"070741","21","Волинська область","будинок культури, актова зала
вул.Незалежності, 64, с.Гута, Ратнівський р-н, Волинська обл., 44145","1176","338","1162","53","795","43","838","","0","795","43","838","14","824","12","5","1","306","343","8","17","132","29.10.12"
"070742","21","Волинська область","сільський клуб, фойє
вул.1 Травня, 59, с.Датинь, Ратнівський р-н, Волинська обл., 44165","584","205","577","38","346","33","379","","0","346","33","379","6","373","1","12","2","125","180","7","11","35","29.10.12"
"070743","21","Волинська область","сільський клуб, актова зала
вул.Березна, 17А, с.Запілля, Ратнівський р-н, Волинська обл., 44165","104","28","98","3","73","3","76","","0","73","3","76","0","76","1","2","0","31","25","1","2","14","29.10.12"
"070744","21","Волинська область","будинок культури, актова зала
вул.Лесі Українки, 4, с.Заброди, Ратнівський р-н, Волинська обл., 44160","640","174","632","42","424","42","466","","0","424","42","466","6","460","2","12","2","152","195","8","11","78","29.10.12"
"070745","21","Волинська область","фельдшерсько-акушерський пункт, маніпуляційна кімната
вул.Лесі Українки, 38А, с.Лучичі, Ратнівський р-н, Волинська обл., 44160","488","135","476","39","318","35","353","","0","318","35","353","5","348","1","1","3","144","146","4","5","44","30.10.12"
"070746","21","Волинська область","сільський клуб, актова зала
вул.Набережна, 18А, с.Якушів, Ратнівський р-н, Волинська обл., 44160","384","129","380","28","227","28","255","","0","227","28","255","4","251","0","4","2","114","90","1","7","33","29.10.12"
"070747","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 20, с.Заліси, Ратнівський р-н, Волинська обл., 44144","888","409","880","38","441","38","479","","0","441","38","479","9","470","5","7","3","108","225","10","3","109","30.10.12"
"070748","21","Волинська область","сільська рада, зал засідань
вул.8-го Березня, 5, с.Залухів, Ратнівський р-н, Волинська обл., 44120","304","82","289","10","214","8","222","","0","214","8","222","5","217","0","0","2","101","34","3","1","76","29.10.12"
"070749","21","Волинська область","сільський клуб, актова зала
вул.Партизанська, 35, с.Щитинська Воля, Ратнівський р-н, Волинська обл., 44121","232","68","219","17","149","15","164","","0","149","15","164","6","158","2","1","3","42","76","11","2","21","28.10.12"
"070750","21","Волинська область","фельдшерсько-акушерський пункт, маніпуляційний кабінет
вул.Центральна, 8, с.Почапи, Ратнівський р-н, Волинська обл., 44120","104","27","103","2","76","1","77","","0","76","1","77","1","76","0","2","0","29","20","1","2","22","29.10.12"
"070751","21","Волинська область","фельдшерсько-акушерський пункт, маніпуляційний кабінет
вул.Центральна, 27, с.Заприп’ять, Ратнівський р-н, Волинська обл., 44120","72","8","70","4","60","4","64","","0","60","4","64","0","64","1","1","0","13","35","0","0","14","29.10.12"
"070752","21","Волинська область","фельдшерсько-акушерський пункт, маніпуляційний кабінет
вул.Приозерна, 17, с.Хабарище, Ратнівський р-н, Волинська обл., 44120","56","14","56","0","42","0","42","","0","42","0","42","2","40","0","1","0","19","10","3","1","6","29.10.12"
"070753","21","Волинська область","будинок культури, актова зала
вул.Чапаєва, 22, с.Замшани, Ратнівський р-н, Волинська обл., 44153","1248","386","1240","27","842","20","862","","0","842","20","862","19","843","5","6","7","232","201","5","15","372","29.10.12"
"070754","21","Волинська область","сільський клуб, зала
вул.Шкільна, 1, с.Вужиськ, Ратнівський р-н, Волинська обл., 44153","192","55","184","7","130","7","137","","0","130","7","137","3","134","1","2","0","31","28","0","1","71","29.10.12"
"070755","21","Волинська область","будинок культури, актова зала
вул.Шевченка, 35, с.Здомишель, Ратнівський р-н, Волинська обл., 44150","672","223","672","23","427","22","449","","0","427","22","449","17","432","0","1","1","129","186","1","13","101","29.10.12"
"070756","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 57, с.Краска, Ратнівський р-н, Волинська обл., 44150","256","71","256","21","170","15","185","","0","170","15","185","3","182","2","2","0","37","66","5","4","66","29.10.12"
"070757","21","Волинська область","фельдшерсько-акушерський пункт, фізкабінет
вул.Лесі Українки, 41, с.Шменьки, Ратнівський р-н, Волинська обл., 44150","424","167","423","16","243","14","257","","0","243","14","257","9","248","3","5","1","45","93","2","22","77","28.10.12"
"070758","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 33, с.Височне, Ратнівський р-н, Волинська обл., 44112","472","167","465","44","275","30","305","","0","275","30","305","4","301","3","3","4","48","176","1","4","62","29.10.12"
"070759","21","Волинська область","школа, фойє
вул.Центральна, 100, с.Жиричі, Ратнівський р-н, Волинська обл., 44141","1648","851","1626","31","790","7","797","","0","790","7","797","21","776","10","17","7","284","242","19","14","183","30.10.12"
"070760","21","Волинська область","будинок культури, актова зала
площа Пам’яті, 2, с.Кортеліси, Ратнівський р-н, Волинська обл., 44111","1016","457","1005","42","520","39","559","","0","520","39","559","7","552","6","10","10","157","322","10","5","32","29.10.12"
"070761","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 13, с.Межисить, Ратнівський р-н, Волинська обл., 44124","576","174","568","33","372","30","402","","0","372","30","402","10","392","3","3","3","75","223","8","2","75","29.10.12"
"070762","21","Волинська область","сільська рада, актова зала
вул.Брестська, 11А, с.Млинове, Ратнівський р-н, Волинська обл., 44110","488","166","485","22","303","19","322","","0","303","19","322","3","319","1","3","3","97","148","4","3","60","29.10.12"
"070763","21","Волинська область","школа, учительська 
вул.Шкільна, 7, с.Доманове, Ратнівський р-н, Волинська обл., 44110","264","86","262","26","154","24","178","","0","154","24","178","2","176","3","2","0","48","82","2","2","37","29.10.12"
"070764","21","Волинська область","сільський клуб, фойє
вул.Центральна, 2, с.Поступель, Ратнівський р-н, Волинська обл., 44163","488","127","485","38","325","36","361","","0","325","36","361","2","359","0","3","2","96","223","1","5","29","29.10.12"
"070765","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 20, с.Зоряне, Ратнівський р-н, Волинська обл., 44163","168","32","160","20","118","18","136","","0","118","18","136","2","134","1","1","1","44","54","3","3","27","29.10.12"
"070766","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 7, с.Адамівка, Ратнівський р-н, Волинська обл., 44163","184","50","181","14","123","11","134","","0","123","11","134","1","133","1","2","0","49","41","6","7","27","29.10.12"
"070767","21","Волинська область","будинок культури, актова зала
вул.1 Травня, 19, смт Заболоття, Ратнівський р-н, Волинська обл., 44142","1426","767","1375","29","633","26","659","","0","633","26","659","19","640","4","25","5","195","283","6","24","98","29.10.12"
"070768","21","Волинська область","селищна рада, актова зала, 2-й поверх
вул.Незалежності, 6, смт Заболоття, Ратнівський р-н, Волинська обл., 44142","1664","902","1593","72","699","63","762","","0","699","63","762","21","741","3","7","1","276","239","9","18","188","29.10.12"
"070769","21","Волинська область","сільська рада, зал засідань, 1-й поверх
вул.Центральна, 6, с.Прохід, Ратнівський р-н, Волинська обл., 44108","656","240","649","11","408","8","416","","0","408","8","416","5","411","2","2","2","121","143","6","5","130","29.10.12"
"070770","21","Волинська область","сільський клуб, фойє
вул.Шкільна, 15, с.Комарове, Ратнівський р-н, Волинська обл., 44107","294","69","329","17","208","17","225","","0","208","17","225","0","225","2","5","2","84","107","3","2","20","29.10.12"
"070771","21","Волинська область","школа, фойє
вул.Центральна, 36, с.Конище, Ратнівський р-н, Волинська обл., 44106","424","141","414","3","280","3","283","","0","280","3","283","2","281","1","2","0","29","67","2","5","175","29.10.12"
"070772","21","Волинська область","будинок культури, актова зала
вул.Центральна, 1, с.Річиця, Ратнівський р-н, Волинська обл., 44133","888","334","880","20","536","18","554","","0","536","18","554","9","545","2","17","5","178","196","4","5","138","29.10.12"
"070773","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 32, с.Мельники-Річицькі, Ратнівський р-н, Волинська обл., 44133","536","124","531","21","391","21","412","","0","391","21","412","9","403","1","1","4","151","156","9","4","77","29.10.12"
"070774","21","Волинська область","сільський клуб, актова зала
вул.Шкільна, 8, с.Піски-Річицькі, Ратнівський р-н, Волинська обл., 44133","368","112","368","12","247","9","256","","0","247","9","256","7","249","0","5","1","60","144","1","1","37","29.10.12"
"070775","21","Волинська область","будинок культури, актова зала
вул.Радянська, 35, с.Самари, Ратнівський р-н, Волинська обл., 44113","1240","428","1231","48","765","47","812","","0","765","47","812","13","799","7","10","1","342","259","6","16","158","29.10.12"
"070776","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 33, с.Язавні, Ратнівський р-н, Волинська обл., 44113","552","181","541","16","355","16","371","","0","355","16","371","15","356","2","3","1","88","179","6","1","76","29.10.12"
"070777","21","Волинська область","будинок культури, фойє
вул.Центральна, 20, с.Самари-Оріхові, Ратнівський р-н, Волинська обл., 44115","792","320","783","35","442","30","472","","0","442","30","472","4","468","2","1","6","188","226","3","4","38","29.10.12"
"070778","21","Волинська область","будинок культури, фойє
вул.Лесі Українки, 58, с.Тур, Ратнівський р-н, Волинська обл., 44140","1456","689","1445","50","720","47","767","","0","720","47","767","20","747","3","6","3","235","381","2","12","105","29.10.12"
"070779","21","Волинська область","будинок культури, актова зала
вул.Набережна, 13, с.Щедрогір, Ратнівський р-н, Волинська обл., 44122","680","179","671","48","458","43","501","","0","458","43","501","2","499","3","3","5","123","285","0","4","76","29.10.12"
"070780","21","Волинська область","сільський клуб, актова зала
вул.Центральна, 93, с.Підгір’я, Ратнівський р-н, Волинська обл., 44122","336","59","332","22","255","22","277","","0","255","22","277","0","277","1","2","0","62","175","3","2","32","29.10.12"
"070840","21","Волинська область","школа, фойє
вул.Лесі Українки, 1, смт Стара Вижівка, Старовижівський р-н, Волинська обл., 44400","2056","838","2044","19","1205","13","1218","","0","1205","13","1218","29","1189","12","3","8","456","483","19","25","183","29.10.12"
"070841","21","Волинська область","районний будинок культури, глядацька зала
вул.Незалежності, 33, смт Стара Вижівка, Старовижівський р-н, Волинська обл., 44400","2024","768","2003","13","1244","12","1256","","0","0","0","1256","35","1221","13","5","7","447","503","25","22","199","31.10.12"
"070842","21","Волинська область","контора управління осушувальних систем, зала засідань
вул.Мирна, 2, с.Брідки, Старовижівський р-н, Волинська обл., 44400","328","110","320","5","213","5","218","","0","213","5","218","6","212","3","1","0","63","108","0","5","32","29.10.12"
"070843","21","Волинська область","будинок культури, глядацька зала
вул.Комсомольська, 1, с.Буцин, Старовижівський р-н, Волинська обл., 44440","880","228","870","35","618","34","652","","0","618","34","652","13","639","1","0","1","173","252","10","11","191","29.10.12"
"070844","21","Волинська область","сільська рада, актова зала
вул.Колгоспна, 3, с.Галина Воля, Старовижівський р-н, Волинська обл., 44424","512","155","508","11","346","11","357","","0","346","11","357","4","353","1","0","1","190","147","2","2","10","29.10.12"
"070845","21","Волинська область","школа, ігрова кімната
вул.Радянська, 37, с.Смолярі, Старовижівський р-н, Волинська обл., 44425","696","309","696","7","380","7","387","","0","380","7","387","14","373","1","3","0","117","233","2","4","13","29.10.12"
"070846","21","Волинська область","школа, їдальня
вул.Денисова, 93, с.Глухи, Старовижівський р-н, Волинська обл., 44410","680","278","674","40","362","40","402","","0","362","40","402","6","396","3","0","3","89","233","9","3","56","29.10.12"
"070847","21","Волинська область","клуб, глядацька зала
вул.Радянська, 56, с.Текля, Старовижівський р-н, Волинська обл., 44411","472","139","470","12","323","10","333","","0","323","10","333","10","323","4","1","0","90","197","6","3","22","29.10.12"
"070848","21","Волинська область","будинок культури, фойє
вул.Незалежності, 20, с.Дубечне, Старовижівський р-н, Волинська обл., 44412","1752","797","1736","28","931","24","955","","0","931","24","955","28","927","12","7","8","351","444","2","29","74","29.10.12"
"070849","21","Волинська область","школа, їдальня
вул.Юхимука, 35, с.Залюття, Старовижівський р-н, Волинська обл., 44412","296","91","292","5","201","4","205","","0","201","4","205","3","202","0","5","0","43","129","0","0","25","29.10.12"
"070850","21","Волинська область","клуб, гдядацька зала
вул.Садова, 1А, с.Лютка, Старовижівський р-н, Волинська обл., 44412","128","22","129","9","97","9","106","","0","97","9","106","1","105","0","1","0","37","52","0","1","14","30.10.12"
"070851","21","Волинська область","клуб, глядацька зала
вул.Незалежності, 47, с.Мокре, Старовижівський р-н, Волинська обл., 44414","568","255","563","6","308","5","313","","0","308","5","313","18","295","7","3","2","110","121","4","9","39","29.10.12"
"070852","21","Волинська область","школа, фойє
вул.Центральна, 105, с.Рокита, Старовижівський р-н, Волинська обл., 44413","544","216","543","28","301","27","328","","0","301","27","328","11","317","2","5","4","75","175","4","4","48","29.10.12"
"070853","21","Волинська область","сільська рада, кабінет сільського голови
вул.Перемоги, 111, с.Журавлине, Старовижівський р-н, Волинська обл., 44455","344","98","342","26","222","24","246","","0","222","24","246","3","243","1","0","1","97","72","1","2","69","29.10.12"
"070854","21","Волинська область","будинок культури, фойє
вул.Радянська, 22А, с.Кримне, Старовижівський р-н, Волинська обл., 44420","1432","558","1420","62","813","61","874","","0","813","61","874","28","846","6","8","4","304","402","6","15","101","29.10.12"
"070855","21","Волинська область","клуб, глядацька зала
вул.Центральна, 23Б, с.Яревище, Старовижівський р-н, Волинська обл., 44421","392","32","387","42","318","42","360","","0","318","42","360","0","360","4","2","1","103","204","1","10","35","29.10.12"
"070856","21","Волинська область","будинок культури, фойє
вул.Жовтнева, 38, с.Любохини, Старовижівський р-н, Волинська обл., 44422","1336","639","1326","30","670","27","697","","0","670","27","697","15","682","5","2","1","158","414","5","16","81","29.10.12"
"070857","21","Волинська область","сільська рада, актова зала
вул.Б.Хмельницького, 57, с.Мизове, Старовижівський р-н, Волинська обл., 44452","688","223","680","54","411","54","465","","0","411","54","465","10","455","2","3","0","195","190","6","10","49","28.10.12"
"070858","21","Волинська область","школа, кабінет історії
вул.Радянська, 57, с.Нова Вижва, Старовижівський р-н, Волинська обл., 44408","408","116","406","34","259","33","292","","0","259","33","292","4","288","0","1","0","100","114","5","3","65","29.10.12"
"070859","21","Волинська область","школа, спортивна кімната
вул.Набережна, 2А, с.Рудка, Старовижівський р-н, Волинська обл., 44408","192","59","183","20","113","20","133","","0","113","20","133","3","130","0","0","0","34","61","0","0","35","29.10.12"
"070860","21","Волинська область","сільська рада, зала засідань
вул.Солобаєва, 7, с.Поліське, Старовижівський р-н, Волинська обл., 44416","312","67","313","6","240","5","245","","0","240","5","245","8","237","0","3","1","67","127","2","6","31","29.10.12"
"070861","21","Волинська область","школа с.Поліське, майстерня
вул.Солобаєва, 42, с.Поліське, Старовижівський р-н, Волинська обл., 44416","216","67","204","5","144","5","149","","0","144","5","149","5","144","1","0","0","38","84","2","0","19","29.10.12"
"070862","21","Волинська область","школа, клас української мови
вул.Федорова, 6, с.Чевель, Старовижівський р-н, Волинська обл., 44415","424","142","415","30","255","27","282","","0","255","27","282","6","276","0","1","1","59","181","4","2","28","29.10.12"
"070863","21","Волинська область","сільська рада, зала засідань
вул.Миру, 14, с.Рудня, Старовижівський р-н, Волинська обл., 44450","200","40","197","4","156","4","160","","0","156","4","160","4","156","2","1","2","41","82","7","3","18","29.10.12"
"070864","21","Волинська область","фельдшерсько-акушерський пункт, профілактичний кабінет
вул.Незалежності, 40А, с.Кукуріки, Старовижівський р-н, Волинська обл., 44450","192","49","188","2","141","2","143","","0","141","2","143","5","138","3","1","2","28","78","0","1","25","29.10.12"
"070865","21","Волинська область","школа, класна кімната
вул.Зелена, 22, с.Сьомаки, Старовижівський р-н, Волинська обл., 44450","112","41","109","0","71","0","71","","0","71","0","71","0","71","0","0","0","16","44","0","3","8","29.10.12"
"070866","21","Волинська область","сільська рада, обрядова зала
вул.Незалежності, 23, с.Седлище, Старовижівський р-н, Волинська обл., 44441","520","156","512","17","349","15","364","","0","349","15","364","4","360","3","1","0","137","170","8","2","39","29.10.12"
"070867","21","Волинська область","школа, класна кімната
вул.Гагаріна, 26А, с.Борзова, Старовижівський р-н, Волинська обл., 44440","112","43","107","5","64","5","69","","0","64","5","69","0","69","1","0","2","16","29","0","0","21","29.10.12"
"070868","21","Волинська область","фельдшерсько-акушерський пункт, кабінет профілактичного огляду
вул.Підрічна, 1А, с.Черемшанка, Старовижівський р-н, Волинська обл., 44440","72","13","72","4","55","4","59","","0","55","4","59","2","57","0","0","1","11","32","1","0","12","30.10.12"
"070869","21","Волинська область","сільська рада, зал засідань
вул.Перемоги, 1А, с.Секунь, Старовижівський р-н, Волинська обл., 44444","392","90","391","33","269","33","302","","0","269","33","302","4","298","2","1","1","89","165","4","6","30","29.10.12"
"070870","21","Волинська область","будинок культури, танцювальна зала
вул.Радянська, 24, с.Сереховичі, Старовижівський р-н, Волинська обл., 44442","592","174","582","30","388","30","418","","0","388","30","418","7","411","0","3","2","132","114","3","4","153","29.10.12"
"070871","21","Волинська область","клуб, танцювальна зала
вул.Садова, 46, с.Грабове, Старовижівський р-н, Волинська обл., 44442","200","52","200","4","145","3","148","","0","145","3","148","4","144","0","0","1","24","103","0","2","14","29.10.12"
"070872","21","Волинська область","школа, спортивна кімната
вул.Радянська, 79, с.Синове, Старовижівський р-н, Волинська обл., 44430","392","110","392","12","275","7","282","","0","275","7","282","12","270","3","1","2","119","116","3","4","22","29.10.12"
"070873","21","Волинська область","дитячий садок, актова зала
вул.Незалежності, 29, с.Смідин, Старовижівський р-н, Волинська обл., 44453","1464","537","1445","31","896","31","927","","0","896","31","927","13","914","0","1","3","590","215","7","6","92","29.10.12"
"070874","21","Волинська область","школа, класна кімната
вул.Дубова, 33, с.Лісняки, Старовижівський р-н, Волинська обл., 44453","184","38","179","7","140","6","146","","0","140","6","146","1","145","1","2","0","50","82","2","1","7","29.10.12"
"070875","21","Волинська область","школа, фойє
вул.Лесі Українки, 8, с.Паридуби, Старовижівський р-н, Волинська обл., 44454","256","89","250","7","161","6","167","","0","161","6","167","6","161","0","0","0","55","65","1","3","37","29.10.12"
"070876","21","Волинська область","клуб, глядацька зала
вул.Перемоги, 2, с.Соколище, Старовижівський р-н, Волинська обл., 44432","152","37","144","13","102","13","115","","0","102","13","115","2","113","1","0","0","25","60","3","5","19","29.10.12"
"070877","21","Волинська область","школа, фойє
вул.Богатирьова, 24, с.Мильці, Старовижівський р-н, Волинська обл., 44434","88","15","91","6","67","6","73","","0","67","6","73","1","72","1","1","0","23","39","0","2","6","29.10.12"
"070878","21","Волинська область","школа, класна кімната
вул.Молодіжна, 26, с.Підсинівка, Старовижівський р-н, Волинська обл., 44431","112","29","103","8","75","8","83","","0","75","8","83","0","83","0","0","1","31","47","0","0","4","29.10.12"
"070879","21","Волинська область","школа, спортивна зала
вул.Незалежності, 32, с.Шкроби, Старовижівський р-н, Волинська обл., 44432","176","47","169","21","109","20","129","","0","109","20","129","0","129","0","1","1","20","69","2","0","36","29.10.12"
"070880","21","Волинська область","сільська рада, кімната урочистих подій
вул.Жовтнева, 5, с.Солов’ї, Старовижівський р-н, Волинська обл., 44433","272","85","265","15","174","13","187","","0","174","13","187","1","186","0","2","2","41","117","1","7","16","29.10.12"
"070881","21","Волинська область","фельдшерсько-акушерський пункт, кабінет профілактичного огляду
вул.Центральна, 10, с.Комарове, Старовижівський р-н, Волинська обл., 44433","160","36","157","2","122","2","124","","0","122","2","124","2","122","0","0","2","37","66","0","3","14","29.10.12"
"070882","21","Волинська область","школа, кабінет початкових класів
вул.Молодіжна, 4, с.Ниці, Старовижівський р-н, Волинська обл., 44434","232","46","236","10","178","8","186","","0","178","8","186","5","181","0","0","0","61","83","0","4","33","08.11.12"
"070883","21","Волинська область","сільська рада, кімната депутата
вул.Лесі Українки, 45, с.Стара Гута, Старовижівський р-н, Волинська обл., 44423","792","244","788","29","519","29","548","","0","519","29","548","14","534","3","3","1","144","270","8","6","99","29.10.12"
"070884","21","Волинська область","школа, кабінет початкових класів
вул.Шевченка, 1, с.Сукачі, Старовижівський р-н, Волинська обл., 44423","208","54","207","5","149","5","154","","0","149","5","154","2","152","0","2","0","36","98","6","0","10","29.10.12"
"070942","21","Волинська область","школа, спортивний зал, 1-й поверх
вул.50 років Перемоги, 40, смт Шацьк, Шацький р-н, Волинська обл., 44000","1360","478","1355","27","856","26","882","","0","856","26","882","13","869","11","8","57","300","330","19","35","109","29.10.12"
"070943","21","Волинська область","районний будинок культури, фойє
вул.Шковороди, 26, смт Шацьк, Шацький р-н, Волинська обл., 44000","1608","582","1597","25","1005","21","1026","","0","1005","21","1026","19","1007","9","16","50","310","434","23","31","134","29.10.12"
"070944","21","Волинська область","міський будинок культури, зала
вул.Незалежності, 190, смт Шацьк, Шацький р-н, Волинська обл., 44000","1000","371","992","35","596","33","629","","0","596","33","629","15","614","3","6","16","157","290","12","27","103","29.10.12"
"070945","21","Волинська область","відділення культури санаторію ""Лісова пісня"", зала, 1-й поверх
вул.Пісочна, 20, с.Гаївка, Шацький р-н, Волинська обл., 44009","152","23","153","3","126","3","129","","0","126","3","129","0","129","0","2","3","32","63","6","3","20","30.10.12"
"070946","21","Волинська область","сільський будинок культури, зала
вул.Шевченка, 63, с.Мельники, Шацький р-н, Волинська обл., 44008","896","246","891","39","613","37","650","","0","613","37","650","19","631","5","8","26","144","348","7","21","72","29.10.12"
"070947","21","Волинська область","школа, кл.1
вул.Шевченка, 4, с.Грабове, Шацький р-н, Волинська обл., 44023","256","51","255","29","181","24","205","","0","181","24","205","4","201","0","1","2","45","114","4","2","33","29.10.12"
"070948","21","Волинська область","школа, кл.1
вул.Шевченка, 10, с.Смоляри-Світязькі, Шацький р-н, Волинська обл., 44023","168","43","167","5","122","3","125","","0","122","3","125","3","122","0","1","0","43","66","3","1","8","29.10.12"
"070949","21","Волинська область","школа, кл.1
вул.Калинова, 6, с.Голядин, Шацький р-н, Волинська обл., 44023","240","54","234","8","180","6","186","","0","180","6","186","2","184","0","0","2","63","98","3","6","12","29.10.12"
"070950","21","Волинська область","школа, кл.9
вул.Леніна, 84А, с.Піща, Шацький р-н, Волинська обл., 44010","792","264","781","40","489","39","528","","0","489","39","528","8","520","7","3","41","84","324","17","17","27","29.10.12"
"070951","21","Волинська область","клуб, зала
вул.Центральна, 39, с.Затишшя, Шацький р-н, Волинська обл., 44010","184","54","182","5","125","5","130","","0","125","5","130","3","127","3","1","22","22","58","1","5","15","29.10.12"
"070952","21","Волинська область","школа, кл.1
вул.Центральна, 6А, с.Кам’янка, Шацький р-н, Волинська обл., 44012","80","16","80","1","63","1","64","","0","63","1","64","1","63","0","1","4","19","34","0","1","4","29.10.12"
"070953","21","Волинська область","школа, кл.1
вул.Шкільна, 2, с.Острів’я, Шацький р-н, Волинська обл., 44010","336","95","328","13","230","11","241","","0","230","11","241","7","234","2","2","8","60","132","0","0","30","29.10.12"
"070954","21","Волинська область","сільський будинок культури, зала
вул.Радянська, 18, с.Прип’ять, Шацький р-н, Волинська обл., 44030","400","133","395","10","257","10","267","","0","257","10","267","3","264","5","2","1","86","123","10","2","35","29.10.12"
"070955","21","Волинська область","клуб, зала
вул.Лісова, 23, с.Вілиця, Шацький р-н, Волинська обл., 44030","112","32","104","4","76","4","80","","0","76","4","80","5","75","1","0","7","31","19","1","1","15","29.10.12"
"070956","21","Волинська область","клуб, зала
вул.Федорова, 34, с.Кропивники, Шацький р-н, Волинська обл., 44030","184","58","176","5","121","5","126","","0","121","5","126","3","123","0","1","3","58","33","1","5","22","30.10.12"
"070957","21","Волинська область","клуб, зала
вул.Садова, 21, с.Плоске, Шацький р-н, Волинська обл., 44030","88","17","84","2","70","1","71","","0","70","1","71","2","69","0","1","3","25","27","1","4","8","30.10.12"
"070958","21","Волинська область","клуб, зала
вул.Жовтнева, 96А, с.Пулемець, Шацький р-н, Волинська обл., 44013","432","131","420","15","288","13","301","","0","288","13","301","8","293","4","4","6","39","165","8","2","65","28.10.12"
"070959","21","Волинська область","сільський будинок культури, фойє
вул.Калініна, 175А, с.Пульо, Шацький р-н, Волинська обл., 44020","1016","284","1000","56","682","50","732","","0","682","50","732","14","718","2","1","8","351","299","10","11","36","29.10.12"
"070960","21","Волинська область","клуб, зала
вул.Центральна, 26А, с.Залісся, Шацький р-н, Волинська обл., 44020","168","38","163","24","109","21","130","","0","109","21","130","1","129","1","1","2","72","44","1","1","7","29.10.12"
"070961","21","Волинська область","клуб-бібліотека, фойє
вул.Центральна, 1А, с.Вільшанка, Шацький р-н, Волинська обл., 44020","96","21","90","9","69","6","75","","0","69","6","75","2","73","1","3","1","20","41","4","1","2","30.10.12"
"070962","21","Волинська область","клуб, зала
вул.Шкільна, 5А, с.Ростань, Шацький р-н, Волинська обл., 44012","296","81","282","8","208","7","215","","0","208","7","215","6","209","0","3","3","37","125","2","2","37","29.10.12"
"070963","21","Волинська область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Партизанська, 3, с.Перешпа, Шацький р-н, Волинська обл., 44012","48","17","50","3","29","2","31","","0","29","2","31","0","31","1","0","0","5","24","0","0","1","29.10.12"
"070964","21","Волинська область","школа, кл.1
вул.Стадіонна, 1А, с.Хрипськ, Шацький р-н, Волинська обл., 44012","136","32","134","12","93","11","104","","0","93","11","104","4","100","0","4","6","13","59","1","1","16","29.10.12"
